denumire,cui,localitate,judet,tip,autorizatie,telefon,sursa,email
ARIES CREWING S.R.L,,Constanța,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
NAVMAR SHIPPING &SERVICES S.R.L,,Constanța,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
DOHLE MANNING AGENCY S.R.L.,,Constanța,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
ZODIAC MARITIME LIMITED S.R.L.,,Constanța,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
BSM CREW,,Constanța,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
NAVICREW MARITIME S.R.L.,,Constanța,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
GOOD WINDS,,Constanța,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
CUZA CREWING S.R.L.,,Constanța,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
PARADISE NAVIGATION S.R.L,,Constanța,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
HISTRIA,,Constanța,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
KRU MARITIME S.R.L.,,Constanța,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
ROM TRUST S.R.L.,,Tulcea,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
ROYAL CREWING S.R.L,,Constanța,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
FOR SEA AGENCY S.R.L.,,Sat Agigea,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
SEAFARER SOLUTIONS S.R.L.,,București,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
AB CREWING S.R.L.,,Constanța,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
JOB SELECTION,,Brașov,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
NEOPOINT S.R.L.,,Constanța,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
XT SHIPS,,Constanța,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
TMK TECHNICAL SERVICES S.R.L.,,Constanța,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
CMA SHIPS ROMANIA S.R.L.,,Constanța,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
SEAWAY,,Constanța,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
FASTRA MARINE SERVICES S.R.L.,,0728.922.031 / 0241.558.777,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
ROMTEHMAR S.R.L.,,Tulcea,,FURNIZARE NAVIGATORI (CREWING),,0240517088,anr_crewing,
SEA JOBS CONSTANTA S.R.L.,,Constanța,,FURNIZARE NAVIGATORI (CREWING),,0745164443,anr_crewing,
MSC CREWING SERVICES S.R.L.,,Constanța,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
WEST MSC SHIPING CONSULTING S.R.L.,,Constanța,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
REFORCONS SRL,,0728.848.709 / 0341.172.730,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
TINECOMAR 98 S.R.L.,,Constanța,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
DELPHINE COMAR S.R.L.,,Oraș Mangalia,,FURNIZARE NAVIGATORI (CREWING),,0749551525,anr_crewing,
STATUS MARINE SERVICES S.R.L.,,Constanța,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
QUEEN LIZ S.R.L.,,Constanța,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
SOLARIS JOBS S.R.L.,,Constanța,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
FLAIR GRUP,,Bucuresti,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
FAIR SPIRIT SHIPPING S.R.L.,,Constanța Blv. Ferdinand nr. 89 A,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
PETRO JOBS,,0769 060 123/ 124/125,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
OCEAN JOBS SRL,,Brașov,,FURNIZARE NAVIGATORI (CREWING),,0733809005,anr_crewing,
ORCA CREW SERVICES S.R.L.,,Constanța,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
SAGAU SHIPPING SERVICES S.R.L.,,Constanța,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
LIGHTHOUSE SHIPPING S.R.L.,,Constanța,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
HANSEATIC,,Constanța,,FURNIZARE NAVIGATORI (CREWING),,0770846760,anr_crewing,
QUEEN BLUE S.R.L.,,Constanța,,FURNIZARE NAVIGATORI (CREWING),,0744324531,anr_crewing,
SMART GROUP,,Constanța,,FURNIZARE NAVIGATORI (CREWING),,0241665436,anr_crewing,
BALCAN MARITIME,,Constanța,,FURNIZARE NAVIGATORI (CREWING),,0733485406,anr_crewing,
SHIP REPAIRS S.R.L.,,Mare nr. 47/A,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
NAVIS SHIP,,Constanța,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
MANAGEMENT,,Bătrân,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
COLUMBIA SHIPMANAGEMENT ROMANIA SRL,,Constanța,,FURNIZARE NAVIGATORI (CREWING),,0727424696,anr_crewing,
FOR SEA EUROPA SRL,,Jud. Constanța,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
