denumire,cui,localitate,judet,tip,autorizatie,telefon,sursa,email
EUXIN SRL,,,,TRANSPORT PUBLIC DE MARFURI PE CAI NAVIGABILE INTERIOARE,TPMCN 143 GL,0744613164,anr_autorizatii,
FOXNAV S R L,,,,REMORCAJUL DE MANEVRĂ AL NAVELOR MARITIME ÎN PORTURI,RNM 172 GL,0735611204,anr_autorizatii,
FOXNAV S R L BRĂILA,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 120 GL,,anr_autorizatii,
GG TRANSPORT ALILEON S R L BRĂILA,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 122 GL,0339730039,anr_autorizatii,
GIANAVAR DANUBE SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 151 GL,0726767167,anr_autorizatii,
GILFOR S R L BRAILA,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 177 GL,0239626167,anr_autorizatii,
HERCULES S A BRAILA,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 160 GL,0239613514,anr_autorizatii,
HERCULES S A BRAILA,,,,REMORCAJUL DE MANEVRĂ AL NAVELOR MARITIME IN PORTURI,RMN 98 GL,0239613514,anr_autorizatii,
INTERCEREAL S A IALOMIŢA,,,,TRANSPORT PUBLIC DE PASAGERI ŞI MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 117 GL,0243363145,anr_autorizatii,
INTERNAV SHIPPING S R L GALAŢI,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 162 GL,0745621253,anr_autorizatii,
KAPTAN MAR SRL,,,,TRANSPORT PUBLIC DE PASAGERI PE CAI NAVIGABILE INTERIOARE,TPMCN 137 GL,0722767672,anr_autorizatii,
METALTRADE INTERNATIONAL SRL GL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 118 GL,0236449215,anr_autorizatii,
MOLDOTURISM S R L BICAZ,,,,TRANSPORT PUBLIC DE PASAGERI PE CAI NAVIGABILE,TPMCN 138 GL,0748110400,anr_autorizatii,
NAVY TUR BICAZ S.R.L,,,,TRANSPORT PUBLIC DE PASAGERI PE CĂI NAVIGABILE INTERIOARE,TPMCN 168 GL .,0723865355,anr_autorizatii,
NAVROM BAC S R L GALAŢI,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 166 GL,0236496627,anr_autorizatii,
NAVROM PORSERVICE S A GALATI,,,,TRANSPORT PUBLIC DE MARFURI PE CAILE NAVIGABILE INTERIOARE,TPMCN 104 GL,0336802025,anr_autorizatii,
NOUCONST MS SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CAILE NAVIGABILE INTERIOARE,TPMCN 163 GL,0726444677,anr_autorizatii,
PBN LOGISTICS S A GALAŢI,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 127 GL,0236449215,anr_autorizatii,
REGIA NAȚIONALĂ A PĂDURILOR ROMSILVA RA,,,,TRANSPORT PUBLIC DE PASAGERI PE CAILE NAVIGABILE INTERIOARE,TPMCN 167 GL,0213171005,anr_autorizatii,
RETICORA S R L,,,,TRANSPORT PUBLIC DE MĂRFURI PE CAILE NAVIGABILE INTERIOARE,TPMCN 141 GL,0723428494,anr_autorizatii,
ROMNAV S A BRĂILA,,,,TRANSPORT PUBLIC DE PERSOANE SI MARFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 159 GL,0239612405,anr_autorizatii,
ROTMARK S R L BICAZ,,,,TRANSPORT PUBLIC DE PERSOANE SI MARFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 126 GL,0723058642,anr_autorizatii,
SANTIERUL NAVAL DAMEN GALATI S A,,,,REMORCAJUL DE MANEVRĂ AL NAVELOR MARITIME IN PORTURI,RNM 174 GL,0236307230,anr_autorizatii,
SIGENIS COM S R L BRĂILA,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 149 GL,0239449215,anr_autorizatii,
STENDEX AGROINVEST SRL,,,,TRANSPORT PUBLIC DE MARFURI PE CAI NAVIGABILE INTERIOARE,TPMCN 146 GL,0746286104,anr_autorizatii,
TB IMPORT EXPORT S R L,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 147 GL,0744581354,anr_autorizatii,
TEHNONAV ŞANTIER NAVAL DE CONSTRUCŢII,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 161 GL,0761660927,anr_autorizatii,
