categorie,denumire,numar_registru_national,stare_actuala,status_normalizat,activ,sediu_schimbat,instanta_transfer,tara,judet,localitate,adresa,scop_initial,scop_modificari,hg_utilitate_publica,data_hg_utilitate_publica,sursa_fisier,sursa_url,sursa_data_actualizare
asociatie,ASOCIAÞIA IPSC ROMÂNIA,10509/A/2009,,activa,1,,DA,,ARAD,"Arad, Bd, Decebal nr. 2, jud.Arad","Oradea, Pþa 1 Decembrie nr. 1, ap. 3, jud. Bihor","Scopul asociaiei îl constituie promovarea practivãrii tirului dinamic IPSC, menþinerea, îmbunãtãþrea ºi dezvoltarea acestuia, pentru a-i proteja principiile ºi pentru a reglementa folosirea eficientã ºi în cpndiþii de siguranþã a armelor de foc, precum ºi: a) organizarea practicãrii, sprijinul ºi controlul activitãþii de tir dinamic IPSC din Românoa, sub toate formele sale, fãrã discriminãri politice, rasiale sau religioase, b) asociaþia acordã consultanþã ºi consiliere persoanelor interesate, n domeniul tirului dinamic IPSC; c) implicarea în realizarea unor proiuecte care sã atragã fonduri din partea celor interesaþi; d) organizarea de întâlºniri pentru membrii asociaþiei, seminarii, prezentãrui, demonstraþii; e) organizarea de cursuri de pregãtire sau de iniþiere; f) alte activitãþi prevãzute de lege, potrivit scopului Asociaþiei.","Înlocuirea termenului „tirul dinamic IPSC” cu termenul „Tirul dinamic”,Constituirea filialelor Jude'ene precum ºi a Filialei mun. Bucureºti în condiþiile trecute în Hot. Con. Director,Demersuri pentru recunoaºterea ca ramura sportivã a Tirului Dinamic în România,Constituirea din rândul Membrilor Fondatori ai Filialelor, a Cluburilor Sportive de Tir Dinamic ale fiecãrei Filiale constituite, dupã recunoaºterea Tirului Dinamic ca ramurã sportivã în România, iar apoi prin unificarea Cluburilor Filialelor, înfiinþarea Federaþiei Române de Tir Dinamic,Constituore unuia sau a mai multor poligoane de tragere autorizate reprezentative pentru Tirul Dinamic,Înfiinþarea corpului NROI al Oficialilor IPSC",,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA IPSC ROMÂNIA,10509/A/2009,,activa,1,DA,,,ARAD,"Arad, Bd. Decebal nr. 2, jud. Arad","Oradea, str. Pţa 1 Decembrie nr. 1, ap. 3, jud. Bihor","Scopul asociaţiei îl constituie promovarea practicării tirului dinamic IPSC, menţinerea, îmbunătăţirea şi dezvoltarea acestuia, pentru a-i proteja principiile şi pentru a reglementa folosirea eficientă şi în condiţii de siguranţă a armelor de foc.","Înlocuirea termenului ""tirul dinamic IPSC"" cu termenul ""Tirul dinamic"",Constituirea filialelor Judeţene precum şi a Filialei mun. Bucureşti în condiţiile trecute în Hit. Con. Director,Demersuri pentru recunoaşterea ca ramură sportivă a Tirului Dinamic în România,Constituirea din rândul Membrilor Fondatori ai Filialelor, a Cluburilor Sportive de Tir Dinamic ale fiecărei Filiale constituite, după recunoaşterea Tirului Dinamic ca ramură sportivă în România, iar apoi prin unificarea Cluburilor Filialelor, înfiinţarea Federaţiei Române de Tir Dinamic,Constituirea unuia sau a mai multor poligoane de tragere autorizate reprezentative pentru Tirul Dinamic,Înfiinţarea corpului NROI al Oficialilor IPSC",,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
uniune,Schimbã denumirea organizaþiei studenþeºti din „Liga Studenþilor din Institutul de Învãþãmânt Superior Arad” în „Liga Studenþilor din Universitatea Aurel Vlaicu”,323/D/1991,,activa,1,,,,ARAD,"Arad, Bdul Revoluþiei nr.20, mun.Arad","Arad, Bdul Revoluþiei nr.77, mun.Arad",Scopul,,,,09_03_2026Uniuni.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Uniuni.xlsx,2026-03-09
fundatie,"FUNDATIA "" CONCORDIA C.J. ARAD """,698/B/2001,,activa,1,,,,ARAD,"Arad, Bdul Revoluþiei nr.75","Arad, Bdul Revoluþiei nr. 81, jud.Arad","efectuarea operaþiunilor de colectare de fonduri care sa fie puse la dispoziþia altor asociaþii ,fundaþii sau colectivitãþi în vederea realizãrii de programe de cãtre acestea precum ºi de ajutorare a persoanelor aflate în nevoi sociale .",,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
asociatie,ASOCIATIA DE DEZVOLTARE INTERCOMUNITARA APÃ-CANALIZARE JUDETUL ARAD,1292/A/2008,,activa,1,,,,ARAD,"Arad, Bdul. Revoluþiei nr. 81, jud.Arad","Arad, Bdul Revoluþiei nr. 81, parter, jud. Arad","Asociaþia are ca scop realizarea în comun a proiectelor de dezvoltare a infrastructurii aferente Serviciilor pe baza strategiei de dezvoltare la nivelul judeþului Arad ºi furnizarea în comun a servicilor, forma de gestiune fiind gestiunea delegatã, ce se va realiza în baza unui Contract de Delegare a gestiunii Serviciilor pe termen lung, cãtre un operator comun unic („Operatorul”) conform legislaþiei în vigoare. Pãrþile declarã cã interesul comun ce stã la baza constituirii Asociaþiei este legat de interesul general al locuitorilor din judeþul Arad, pentru îmbunãtãþirea calitãþii Serviiilor, de creºterea capacitãþii de atragere a fondurilor externe nerambursabile pentru finanþarea investiþiilor necesare privind Serviciile, precum ºi de crearea unui operator profesionist care sã implementeze programul de investiþii aprobat de cãtre Pãrþi, care sã funcþioneze pe principii de eficienþã ºi sã asigure servicii de calitate în condiþiile unor tarife acceptabile pentru populaþie.","Asociaþia se constituie în scopul reglementãrii, înfiinþãrii, organizãrii, finanþãrii, exploatãrii, monitorizãrii ºi gestionãrii în comun a serviciului de alimentare cu apã ºi de canalizare( denumit în continuare Serviciul) pe raza de competenþã a unitãþilor administrativ-.teritoriale membre (denumitã în continuare aria Serviciului), precum ºi realizarea în comun a unor proiecte de investiþii publice de interes zonal sau regional, destinate înfiinþãrii, modernizãrii ºi/sau dezvoltãrii, dupã caz, a sistemelor de utilitãþi publice aferente strategia de dezvoltare),2) Asociaþii declarã cã interesul comun ce stã la baza constituirii Asociaþiei este interesul general al locuitorilor de pe raza unitãþilor administrativ.teritoriale membre pentru îmbunãtãþirea calitãþii Serviciului, în condiþiile unor tarife care sã respecte limitele de suportabilitate ale populaþiei ºi principiul „poluatorul plãteºte”, atingerea ºi respectarea standardelor europene privind protecþia mediului, precum ºi creºterea capacitãþii de atragere a fondurilor pentru înþiinþarea investiþiilor necesare în infrastructura tehnico-edilitarã aferentã Serviciului,3) Modalitatea de gestiune a Serviciului va fi gestiunea delegatã, care se va realiza în baza unui cintract de delegare a gestiunii ( denumit în continuare contractul de delegare) atribuit direct, conform prevederilor art. 31 <1 din Legea nr.51/2006, cu modificãrile ºi completãrile ulterioare, unui operator regional, astfel cum este acesta definit de art. 2 lit.g 1 din Legea nr. 51/2006 cu modificãrile ºi completãrile ulterioare, al cãrui capital social va fi deþinut integral de unitãþi administrativ-teritoriale membre ale Asociaiei (denumit în continuare operatorul).",,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA INSULA-MURES ARAD,1390/A/1996,,activa,1,,,,ARAD,"Arad, Calea Aurel Vlaicu bl. Z22, sc.C, aã.8, mun.Arad","Arad, Insula Mureº , Cvartalul nr. 26, construcþia C1 - casa de vacanþã, jud.Arad","Asociaþia se constituie cu scopul de a promova interesele proprietarilor caselor de agrement construite în locul numit „Insula Mureº” pe terenurile concesionate de cãtre Primãria Arad, protecþia ºi reprezentarea acestora în raport cu autoritãþile ºi instituþiile de stat, asigurarea unor condiþii generale pentru o viaþã civilizatã ºi liniºtitã pentru aceºtia ºi vizitatorii Insulei, asigurarea premiselor ºi condiþiilor din punct de vedere financiar ºi juridic pentru administrarea în bune condiþii a Insulei precum ºi a locului de parcare situat în afara insulei.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA CLUB SPORTIV UTA ARAD,7051/A/1993,,activa,1,,,,ARAD,"Arad, Calea Aurel Vlaicu nr.36, jud.Arad","Arad, str. Frunzei, albia majorã râului Mureº în baza sportivã „HELLAS”","Scopul activitãþii Clubului sportiv UTA Arad este iniþierea ºi perfecþionarea pregãtirii ºi mãiestriei sportive a sportivilor rei, pentru participarea în competiþiile naþionale ºi internaþionale. Întreaga activitate a clubului se defãºoarã þinând cont de calendarul de pregãtire propriu ºi cel competiþional oficial intern ºi internaþional la care iau parte echipele sportive ale clubului, n baza propriului plan de venituri ºi cheltuieli ºi cu respectarea prevederilor prezentului Statut.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIAÞIA AEROCLUBUL "" CHARLI BRAVO"" ARAD",3710/A/1996,,activa,1,,,,ARAD,"Arad, Calea Radnei nr. 182","modificat în ªiria, FN, jud.Arad",Activitãþi sportive aeronautice.,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIAÞIA CULTURALÃ ""MUSIK FORUM EUROPA",651/A/1994,,activa,1,,,,ARAD,"Arad, Piata Spitalului, bl.5, sc.C, ap.14","Arad, str.Câmpia Turzii nr. 32, jud.Arad",Promovarea ºi dezvoltarea vieþii culturale a celei muzicale în România,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"CLUBUL SPORTIV "" ARDEALUL "" ARAD",2521/A/2004,,activa,1,,,,ARAD,"Arad, Piaþa Gãrii nr.1, bl. A, sc.B, ap.14, jud.Arad","Arad str. Livezilor nr. 17, jud. Arad","activitatea de mentinerea ºi întãrirea sãnãtãþii, cãlirea organismului , dezbvoltarea calitãþilor fizice ºi morale ale cadrelor , folosirea timpului liber în mod plãcut ºi util , precum ºi stimularea celor cu aptitudini fizice deosebite pentru sportul de performanþã , respectând toate legile tãrii",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
