name,cnpj,trade_name,country,status,org_type
FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL,06974775000144,,BR,,government
FUNDO DE PREVIDENCIA SOCIAL DE PIRACANJUBA,06980013000150,,BR,,government
CONSELHO MUNICIPAL DE DESENVOLVIMENTO RURAL,06980472000134,,BR,,government
ARMAZEM REEMBOLSAVEL DO TERCEIRO BATALHAO DE POLICIA,06980478000101,,BR,,government
COLEGIO ESTADUAL DEPUTADO LUIS EDUARDO MAGALHAES,06980689000144,,BR,,government
MUNICIPIO DE URUCUI,06985832000190,,BR,,government
MUNICIPIO DE URUCUI,06985832000271,,BR,,government
MUNICIPIO DE MAGALHAES DE ALMEIDA,06988976000109,,BR,,government
MUNICIPIO DE MAGALHAES DE ALMEIDA,06988976000281,,BR,,government
MUNICIPIO DE ACAILANDIA,07000268000172,,BR,,government
MUNICIPIO DE ACAILANDIA,07000268000253,,BR,,government
MUNICIPIO DE ACAILANDIA,07000268000334,,BR,,government
MUNICIPIO DE JOAO LISBOA,07000300000110,,BR,,government
DEPARTAMENTO ESTADUAL DE DESENVOLVIMENTO AGROPECUARIO DE SERGIPE,07007046000181,,BR,,government
"AGENCIA REGULADORA DE AGUAS, ENERGIA E SANEAMENTO BASICO DO DISTRITO FEDERAL - ADASA",07007955000110,,BR,,government
"AUTARQUIA DE REGULACAO, FISCALIZACAO E CONTROLE DOS SERVICOS PUBLICOS DE SANEAMENTO AMBIENTAL",07014639000175,,BR,,government
INSTITUTO DE PREVIDENCIA DE ESPERANCA NOVA - IPEN,07015371000196,,BR,,government
CONSORCIO INTERMUNICIPAL DE SAUDE DA REGIAO SERRANA - CIS-SERRA,07015626000110,,BR,,government
INSTITUTO DE PREVIDENCIA SOCIAL DO MUNICIPIO DE GOIANA,07017355000132,,BR,,government
AGENCIA METROPOLITANA DE CAMPINAS - AGEMCAMP,07019105000131,,BR,,government
FUNDO MUNICIPAL DOS DIREITOS DA CRIANCA E DO ADOLESCENTE DE BOA VISTA DO BURICA,07023569000111,,BR,,government
CORTE DE ARBITRAGEM E MEDIACAO DO ESTADO DE ALAGOAS,07033581000107,,BR,,government
FUNDO DE DEFESA DO MEIO AMBIENTE DE SERGIPE,07037180000125,,BR,,government
FUNDACAO DA CRIANCA E DO ADOLESCENTE DE ALVORADA DO OESTE,07037488000170,,BR,,government
"FUNDACAO PAULISTANA DE EDUCACAO, TECNOLOGIA E CULTURA",07039800000165,,BR,,government
"FUNDACAO PAULISTANA DE EDUCACAO, TECNOLOGIA E CULTURA",07039800000246,,BR,,government
AGENCIA DE PROTECAO E DEFESA DO CONSUMIDOR DE JUIZ DE FORA,07040601000177,,BR,,government
SUPERINTENDENCIA DO DESENVOLVIMENTO DO ESTADO DO CEARA,07044662000102,,BR,,government
FUNDACAO DE ASSISTENCIA DESPORTIVA DO ESTADO DO CEARA,07045073000149,,BR,,government
GUARAPREV,07046712000190,,BR,,government
CENTRO INTEGRADO DE SAUDE MARIA ISABEL DOS SANTOS SILVA,07052092000100,,BR,,government
ASSOCIACAO DE ESPORTE E CULTURA DE RIO NOVO DO SUL,07057288000180,,BR,,government
HOSPITAL ESTADUAL GOVERNADOR DIRCEU ARCOVERDE,07057528000146,,BR,,government
FUNDEAP-FUNDO DE DESENVOLVIMENTO AGRICOLA E PECUARIO DE S S PARAISO,07060574000102,,BR,,government
CAMARA MUNICIPAL DE RIO VERMELHO,07061751000167,,BR,,government
MUNICIPIO DE CAPISTRANO,07063589000116,,BR,,government
MUNICIPIO DE CAPISTRANO,07063589000205,,BR,,government
FUNDACAO ESTADUAL DO BEM ESTAR DO MENOR DO MARANHAO,07069719000128,,BR,,government
MUNICIPIO DE ESTREITO,07070873000110,,BR,,government
MUNICIPIO DE ESTREITO,07070873000209,,BR,,government
MUNICIPIO DE ESTREITO,07070873000381,,BR,,government
MUNICIPIO DE PRESIDENTE DUTRA - CAMARA MUNICIPAL,07071582000146,,BR,,government
