category,company,project_title,budget,county
constructii,VALORIFICAREA TURISTICA A ANSAMBLULUI BISERICII,"Anunturi [proceduri de achizitie, beneficiari privati]: Achizitie lucrari de constructii pentru proiectul ""VALORIFICAREA TURISTICA A ANSAMBLULUI BISERICII SF. GHEORGHE A BRESLEI ABAGERILOR, DIN MUNICIPIUL BARLAD"", COD SMIS 117354",6236426.0,Vaslui
constructii,dar si a lucrarilor aferente organizarii de sa,"Anunturi [proceduri de achizitie, beneficiari privati]: Contract de realizare lucrari de demolare, extindere, reabilitare, dotare cu echipamente si utilaje cu montaj a obiectivului de finantare, dar si a lucrarilor aferente organizarii de santier",2682788.94,Bihor
constructii,ACHIZITIE EXECUTIE LUCRARI DE CONSTRUCTII,"Anunturi [proceduri de achizitie, beneficiari privati]: ACHIZITIE EXECUTIE LUCRARI DE CONSTRUCTII",4013591.0,Iasi
constructii,EMI EQUIPEMENT MAINTENANCE INDUSTRIE S.A.,"Anunturi [proceduri de achizitie, beneficiari privati]: Achizitie contract de executie lucrari si furnizare echipamente",478000.0,Arges
constructii,WELKINS FIRE PROTECTION SOLUTIONS S.R.L.,"Anunturi [proceduri de achizitie, beneficiari privati]: Infiintare fabrica sisteme de ventilatie la Racari, cod SMIS 102527",780588.28,Dambovita
constructii,componenta a ansamblului protejat UNESC,"Anunturi [proceduri de achizitie, beneficiari privati]: Executia lucrarilor in cadrul proiectului Conservarea, reabilitarea si promovarea Bisericii Evanghelice din Calnic (jud. Alba) componenta a ansamblului protejat UNESCO",2898764.48,Alba
constructii,INTREPRINDEREA DE MOBILA FLORENTA SRL,-,2277443.79,Cluj
constructii,Lucrari de constructie si instalatii,"Anunturi [proceduri de achizitie, beneficiari privati]: Lucrari de constructie si instalatii a atelierului de croitorie + dotari (panouri solare, panouri fotovoltaice, sistem de iluminat eficient din punct de vedere energetic si sistem de incalzire: cazan pe peleti)",462817.92,Cluj
constructii,lucrari de constructii si instalatii,"Anunturi [proceduri de achizitie, beneficiari privati]: lucrari de constructii si instalatii, de restaurare a Bisericii Sfintii Voievozi Tandarei (monument istoric cod LMI: IL -II -m -B 14164)",655429.76,Ialomita
constructii,BDUL STEFAN CEL MARE SI SFANT 16 -,"Anunturi [proceduri de achizitie, beneficiari privati]: Achizitie de lucrari",1542595.75,Iasi
constructii,EASYDO DIGITAL TECHNOLOGIES S.R.L.,"Anunturi [proceduri de achizitie, beneficiari privati]: Achizitia lucrarilor de constructie, inclusiv instalatiile si a echipamentelor tehnologice cu montaj (exclusiv postul trafo), organizarea de santier",16000697.67,Bucuresti
