CUI,DENUMIRE,CAEN,JUDET,TELEFON,STARE
45171914,KTM AGROSTORE S.R.L.,4661,"JUD. VÂLCEA, SAT SUTEŞTI COM. SUTEŞTI, SUTEŞTI, NR.174",,INREGISTRAT din data 03.11.2021
39728329,KTR EXPERIENCE S.R.L.,4661,"JUD. TELEORMAN, SAT ZIMNICELE COM. NĂSTURELU, STR. GIURGIULUI, NR.33",,INREGISTRAT din data 08.08.2018
39346973,KTY AGRO SERV S.R.L.,4661,"JUD. CĂLĂRAŞI, MUN. OLTENIŢA, BLD. REPUBLICII, NR.59-65, BL.D, SC.A, ET.2, AP.9",0734985601,INREGISTRAT din data 15.05.2018
37035458,KULCSAR AGRO SRL,4661,"JUD. BIHOR, MUN. ORADEA, STR. GRIGORE URECHE, NR.15, SC.C, AP.44",0741464533,INREGISTRAT din data 14.02.2017
46311382,KWK AGRI PARTS S.R.L.,4661,"JUD. BRAŞOV, MUN. BRAŞOV, STR. JEPILOR, NR.36, BIROUL/CAMERA NR.3, BL.A34, AP.7",0740162422,INREGISTRAT din data 16.06.2022
44428220,L&C AGROLIVIU INDUSTRY S.R.L.,4661,"JUD. TIMIŞ, MUN. LUGOJ, SPL. 1 DECEMBRIE 1918, BL.16, SC.A, AP.19",0733724331,INREGISTRAT din data 11.06.2021
25811440,L.K.A. CASIAN SRL,4661,"JUD. TIMIŞ, SAT GAVOJDIA COM. GAVOJDIA, GAVOJDIA, NR.112",0723268703,INREGISTRAT din data 23.07.2009
18936076,LA ANTONIO S.R.L.,4661,"JUD. MUREŞ, COM. SÂNPAUL, NR.341",0744832334,INREGISTRAT din data 15.08.2006
46651619,LA IMPORT-EXPORT CEREALE S.R.L.,4661,"JUD. IAŞI, MUN. IAŞI, STR. CONDUCTELOR, NR.10, ÎNCĂPEREA NR. 3, BL.328, SC.A, ET.1, AP.3",,INREGISTRAT din data 16.08.2022
15673544,LA PETIT FRANCE SRL,4661,"JUD. SIBIU, SAT AŢEL COM. AŢEL,  , NR.498B",,INREGISTRAT din data 15.08.2003
26588665,LAGROMEX SARL PARIS SUCURSALA BUCURESTI,4661,"MUNICIPIUL BUCUREŞTI, SECTOR 1, STR. GRIGORE ALEXANDRESCU, NR.38",0033671653782,INREGISTRAT din data 01.03.2010
28085627,LANDEXPRESS SRL,4661,"JUD. DOLJ, MUN. CRAIOVA, ALEEA GHEŢIŞOAREI, NR.10, BL.165C, SC.1, ET.2, AP.12",,INREGISTRAT din data 24.02.2011
16043822,LANDTECHNIK KOVACS SRL,4661,"JUD. COVASNA, SAT OJDULA COM. OJDULA, OJDULA, NR.657",,SUSPENDARE ACTIVITATE din data 24.07.2024
