DISTRIBUITORI UTILAJE AGRICOLE DIN BAZA ANAF
Total firme scanate: 2,778,122
Data sursa: D:\MEMORY\CLAUDE\OPT\AGRI_SCRAPERS\anaf_all_romania_full.csv

================================================================================
CAEN 4661 - WHOLESALE AGRICULTURAL MACHINERY (1369 firme)
================================================================================

82. GRUP INDUSTRY M & G PARTNER SRL | ARGEŞ | CAEN:4661 | 0248217753
83. GREENOPOLIS TOOLS P&G SRL | ARGEŞ | CAEN:4661 | 0745109808
84. LEXION EUROPE SRL | ARGEŞ | CAEN:4661 | 040757779268
85. COMPONENTE MAŞINI AGRICOLE SRL | ARGEŞ | CAEN:4661 | 0733354780
86. MUSSON MACHINERY SRL | ARGEŞ | CAEN:4661 | 0348426142
87. TECHNO TOP INDUSTRY SRL | ARGEŞ | CAEN:4661 | 0751234090
88. AUTO AGRO UTILSERV SRL | ARGEŞ | CAEN:4661 | 
89. NDA SMART TEAM AG SRL | ARGEŞ | CAEN:4661 | 0743010401
90. AGRITRAC MACHINERY SRL | ARGEŞ | CAEN:4661 | 
91. PRORUN EUROPE CORPORATION SRL | ARGEŞ | CAEN:4661 | 
92. AGROMIT CRIS UTIL SRL | ARGEŞ | CAEN:4661 | 
93. CAVALERIA TRADE SRL | ARGEŞ | CAEN:4661 | 
94. LORENA AGRO PARTENER S.R.L. | ARGEŞ | CAEN:4661 | 
95. ACTUAL AGRO PIESE S.R.L. | ARGEŞ | CAEN:4661 | 
96. BACU BOBO S.R.L. | ARGEŞ | CAEN:4661 | 
97. AGRI TRACK EXPORT S.R.L. | ARGEŞ | CAEN:4661 | 
98. ANDRCOR REPARAŢII S.R.L. | ARGEŞ | CAEN:4661 | 
99. COSMA AGRO TRAC S.R.L. | ARGEŞ | CAEN:4661 | 0740907585
100. ASD CONCEPT S.R.L. | ARGEŞ | CAEN:4661 | 0725252447
101. KID S.R.L. | BACĂU | CAEN:4661 | 0234323844
102. GENERAL CONFORT SRL | BACĂU | CAEN:4661 | 0234570140
103. SICOSEM TRACT SRL | BACĂU | CAEN:4661 | 0234326449
104. AGRITIM SRL | BACĂU | CAEN:4661 | 
105. AGRITEHNICA SERVICE SRL | BACĂU | CAEN:4661 | 0234255000
106. AGRO-LGP SRL | BACĂU | CAEN:4661 | 
107. SEINAJ M. MIHAI LUCIAN ÎNTREPRINDERE INDIVIDUALĂ | BACĂU | CAEN:4661 | 0764438029
108. ARTERIUS BUSINESS SRL | BACĂU | CAEN:4661 | 0757348950
109. BEANTO PRODUCTION SRL | BACĂU | CAEN:4661 | 
110. AGRITOT G.T. SRL | BACĂU | CAEN:4661 | 
111. ŢIPLOIU ION ÎNTREPRINDERE INDIVIDUALĂ | BACĂU | CAEN:4661 | 
112. AGRI CĂTĂLINA SRL | BACĂU | CAEN:4661 | 
113. RALUK SISTEM COM S.R.L. | BACĂU | CAEN:4661 | 
114. TRAKOM PIESE S.R.L. | BACĂU | CAEN:4661 | 
115. AGROEST WIND S.R.L. | BACĂU | CAEN:4661 | 
116. INTER AGRIVAP 22 S.R.L. | BACĂU | CAEN:4661 | 
117. AGRITOT IRIGATII S.R.L. | BACĂU | CAEN:4661 | 
