judet,localitate,total_active,asociatii_active,fundatii_active,federatii_active,uniuni_active,persoane_juridice_straine_active
SUCEAVA,COM. POJORÂTA,5,5,0,0,0,0
SUCEAVA,DORNEªTI,5,5,0,0,0,0
SUCEAVA,MOARA NICA,5,5,0,0,0,0
SUCEAVA,MOLDOVITA,5,4,1,0,0,0
SUCEAVA,PÃTRÃUÞI,5,1,4,0,0,0
SUCEAVA,SUCEVITA,5,1,4,0,0,0
SUCEAVA,VATRA MOLDOVITEI,5,3,2,0,0,0
TELEORMAN,Alexandria,5,5,0,0,0,0
TELEORMAN,COMUNA LITA,5,5,0,0,0,0
TELEORMAN,COMUNA TIGANESTI,5,5,0,0,0,0
TIMIS,BELINT,5,5,0,0,0,0
TIMIS,BETHAUSEN,5,5,0,0,0,0
TIMIS,COM. MOŞNIŢA NOUĂ,5,5,0,0,0,0
TIMIS,COMUNA GHIRODA,5,5,0,0,0,0
TIMIS,"LUGOJ,",5,5,0,0,0,0
TIMIS,MAŞLOC,5,5,0,0,0,0
TIMIS,ORŢIŞOARA,5,5,0,0,0,0
TIMIS,SANANDREI,5,4,1,0,0,0
TIMIS,"SAT DUMBRĂVIŢA, COM. DUMBRĂVIŢA",5,5,0,0,0,0
TIMIS,"SAT MOŞNIŢA VECHE, COM. MOŞNIŢA NOUĂ",5,5,0,0,0,0
TIMIS,"TIMISOARA,",5,5,0,0,0,0
TIMIS,TIMSOARA,5,4,1,0,0,0
TIMIS,TORMAC,5,4,1,0,0,0
TIMIS,VOITEG,5,3,2,0,0,0
TULCEA,NALBANT,5,5,0,0,0,0
VALCEA,BUCURESTI,5,3,2,0,0,0
VALCEA,COMUNA BOISOARA,5,5,0,0,0,0
VALCEA,COMUNA DAESTI,5,5,0,0,0,0
VALCEA,COMUNA PAUSESTI-MAGLASI,5,5,0,0,0,0
VALCEA,COMUNA PRUNDENI,5,5,0,0,0,0
VALCEA,COMUNA STOILESTI,5,5,0,0,0,0
VASLUI,BACESTI,5,5,0,0,0,0
VASLUI,HUŞI,5,5,0,0,0,0
VRANCEA,Focsani,5,5,0,0,0,0
VRANCEA,GOLESTI,5,5,0,0,0,0
ALBA,ALBA IULIA (BARABANT),4,4,0,0,0,0
ALBA,ALMASU MARE,4,3,1,0,0,0
ALBA,BARABANT,4,4,0,0,0,0
ALBA,CIUGUD,4,4,0,0,0,0
ALBA,CIURULEASA,4,4,0,0,0,0
ALBA,COM.IGHIU,4,4,0,0,0,0
ALBA,COM.JIDVEI,4,4,0,0,0,0
ALBA,COM.MIHALT,4,4,0,0,0,0
ALBA,CRACIUNELU DE JOS,4,4,0,0,0,0
ALBA,CRACIUNELUL DE JOS,4,4,0,0,0,0
ALBA,CUT,4,4,0,0,0,0
ALBA,GIRDA DE SUS,4,4,0,0,0,0
ALBA,OARDA,4,4,0,0,0,0
ALBA,OCNA MUREŞ,4,1,3,0,0,0
ALBA,OCOLIS,4,4,0,0,0,0
ALBA,"PIANU, SAT PIANU DE JOS",4,4,0,0,0,0
ALBA,POSAGA DE JOS,4,4,0,0,0,0
ALBA,SEBEŞ,4,3,1,0,0,0
ALBA,SINTIMBRU,4,3,1,0,0,0
ALBA,SOHODOL,4,4,0,0,0,0
ARAD,BONÞEªTI,4,3,1,0,0,0
ARAD,CERMEI,4,3,0,1,0,0
ARAD,CHISINEU-CRIS,4,4,0,0,0,0
ARAD,CHIªINEU CRIª,4,4,0,0,0,0
ARAD,CUVIN,4,3,1,0,0,0
ARAD,DIECI,4,4,0,0,0,0
ARAD,DRAUÞ,4,4,0,0,0,0
ARAD,DUD,4,4,0,0,0,0
ARAD,FÎNTÎNELE,4,4,0,0,0,0
ARAD,LAZURI,4,4,0,0,0,0
ARAD,MINIª,4,4,0,0,0,0
ARAD,MÃDERAT,4,2,2,0,0,0
ARAD,OLARI,4,4,0,0,0,0
ARAD,SANTANA,4,4,0,0,0,0
ARAD,TÎRNOVA,4,4,0,0,0,0
ARAD,ZERIND,4,4,0,0,0,0
ARAD,ZIMANDU NOU,4,4,0,0,0,0
ARAD,ªIMANDUL DE JOS,4,4,0,0,0,0
ARGES,BRADU,4,4,0,0,0,0
ARGES,CETĂŢENI,4,3,1,0,0,0
ARGES,COMUNA BRADU,4,4,0,0,0,0
ARGES,COMUNA CORBI,4,4,0,0,0,0
ARGES,COMUNA TIGVENI,4,4,0,0,0,0
ARGES,CORBI,4,4,0,0,0,0
ARGES,CÂMPULUNG MUSCEL,4,3,1,0,0,0
ARGES,MARACINENI,4,3,1,0,0,0
ARGES,UNGHENI,4,4,0,0,0,0
ARGES,VALEA MARE PRAVĂŢ,4,4,0,0,0,0
BACAU,Bacău,4,3,1,0,0,0
BACAU,DOFTEANA,4,4,0,0,0,0
BACAU,FILIPESTI,4,4,0,0,0,0
BACAU,MĂRGINENI,4,4,0,0,0,0
BIHOR,BATĂR,4,3,1,0,0,0
BIHOR,BOIU,4,4,0,0,0,0
BIHOR,BUDOI,4,4,0,0,0,0
BIHOR,CEICA,4,4,0,0,0,0
BIHOR,COCIUBA MARE,4,3,1,0,0,0
BIHOR,HAIEU,4,4,0,0,0,0
BIHOR,HOLOD,4,2,2,0,0,0
BIHOR,HUSASĂU DE TINCA,4,4,0,0,0,0
BIHOR,ROŞIA,4,4,0,0,0,0
BIHOR,ROŞIORI,4,3,1,0,0,0
BIHOR,SISTEREA,4,1,3,0,0,0
BIHOR,SÂNIOB,4,2,2,0,0,0
BIHOR,SÂNNICOLAU DE MUNTE,4,4,0,0,0,0
BIHOR,SĂLACEA,4,4,0,0,0,0
BISTRITA NASAUD,ARCALIA,4,3,1,0,0,0
BISTRITA NASAUD,GALATII BISTRITEI,4,2,2,0,0,0
BISTRITA NASAUD,JOSENII BARGAULUI,4,1,3,0,0,0
BISTRITA NASAUD,MIJLOCENII BARGAULUI,4,0,4,0,0,0
BISTRITA NASAUD,MITITEI,4,3,1,0,0,0
BISTRITA NASAUD,"MUN. BISTRITA, CARTIER UNIREA",4,4,0,0,0,0
BISTRITA NASAUD,MUN.BISTRITA,4,4,0,0,0,0
BISTRITA NASAUD,POIANA ILVEI,4,4,0,0,0,0
BISTRITA NASAUD,RETEAG,4,3,1,0,0,0
BISTRITA NASAUD,ROMULI,4,2,2,0,0,0
BISTRITA NASAUD,SANMIHAIUL DE CAMPIE,4,2,2,0,0,0
BISTRITA NASAUD,SINGEORZ-BAI,4,4,0,0,0,0
BISTRITA NASAUD,SPERMEZEU,4,2,2,0,0,0
BISTRITA NASAUD,SUSENII BARGAULUI,4,2,2,0,0,0
BISTRITA NASAUD,TAURE,4,1,3,0,0,0
BOTOSANI,COM. PALTINIS,4,4,0,0,0,0
BOTOSANI,CURTESTI,4,0,4,0,0,0
BOTOSANI,FLAMANZI,4,4,0,0,0,0
BOTOSANI,"LISNA, COM.SUHARAU",4,4,0,0,0,0
BOTOSANI,POMÂRLA,4,4,0,0,0,0
BOTOSANI,STEFANESTI,4,4,0,0,0,0
BOTOSANI,UNGURENI,4,4,0,0,0,0
BRAILA,GROPENI,4,4,0,0,0,0
BRAILA,MOVILA MIRESII,4,4,0,0,0,0
BRAILA,TICHILESTI,4,4,0,0,0,0
BRAILA,UNIREA,4,4,0,0,0,0
BRAILA,VADENI,4,4,0,0,0,0
BRAILA,braila,4,4,0,0,0,0
BRASOV,"BRAN,",4,4,0,0,0,0
BRASOV,BUCURESTI,4,4,0,0,0,0
BRASOV,Bucureşti,4,2,1,1,0,0
BRASOV,COMUNA TELIU,4,4,0,0,0,0
BRASOV,DRĂGUŞ,4,4,0,0,0,0
BRASOV,Făgăraş,4,4,0,0,0,0
BRASOV,JIBERT,4,4,0,0,0,0
BRASOV,MANDRA,4,4,0,0,0,0
BRASOV,RÂSNOV,4,4,0,0,0,0
BRASOV,SINPETRU,4,4,0,0,0,0
BRASOV,SOARS,4,4,0,0,0,0
BRASOV,SÂMBĂTA DE SUS,4,4,0,0,0,0
BRASOV,TĂRLUNGENI,4,4,0,0,0,0
BRASOV,VAMA BUZĂULUI,4,4,0,0,0,0
BRASOV,VENETIA DE JOS,4,4,0,0,0,0
BUCURESTI,BRAGADIRU,4,1,3,0,0,0
BUCURESTI,"BUCURESTI, SECTOR3",4,4,0,0,0,0
BUCURESTI,BUCUREsTI,4,3,1,0,0,0
BUCURESTI,"Bucuresti, Sector 3",4,4,0,0,0,0
BUCURESTI,ORAŞ VOLUNTARI,4,3,1,0,0,0
BUCURESTI,sector 3 bucuresti,4,3,1,0,0,0
BUZAU,Buzău,4,4,0,0,0,0
BUZAU,GLODEANU SARAT,4,4,0,0,0,0
BUZAU,"RM-SARAT, STR. C. BRINCOVEANU NR. 46",4,4,0,0,0,0
BUZAU,RÂMNICU SARAT,4,4,0,0,0,0
BUZAU,VERNESTI,4,3,1,0,0,0
BUZAU,ZIDURI,4,4,0,0,0,0
CALARASI,CRIVAT,4,4,0,0,0,0
CALARASI,MITRENI,4,3,1,0,0,0
CALARASI,MODELU,4,3,1,0,0,0
CALARASI,MUNICIPIUL OLTENITA,4,4,0,0,0,0
CALARASI,NEPRECIZAT,4,1,3,0,0,0
CALARASI,ULMENI,4,4,0,0,0,0
CARAS-SEVERIN,COMUNA IABLANITA,4,4,0,0,0,0
CARAS-SEVERIN,GRADINARI,4,4,0,0,0,0
CARAS-SEVERIN,MEHADIA,4,3,1,0,0,0
CARAS-SEVERIN,MOLDOVA VECHE,4,4,0,0,0,0
CARAS-SEVERIN,Moldova Noua,4,3,1,0,0,0
CARAS-SEVERIN,OBREJA,4,3,1,0,0,0
CARAS-SEVERIN,PRIGOR,4,4,0,0,0,0
CARAS-SEVERIN,TOPLET,4,4,0,0,0,0
CLUJ,AGHIRES,4,3,1,0,0,0
CLUJ,BAGARA,4,4,0,0,0,0
CLUJ,BAISOARA,4,3,1,0,0,0
CLUJ,BELIS,4,4,0,0,0,0
CLUJ,BOLOGA,4,4,0,0,0,0
CLUJ,BONŢIDA,4,4,0,0,0,0
CLUJ,BUCEA,4,3,1,0,0,0
CLUJ,BUCUREŞTI,4,2,1,1,0,0
CLUJ,CALATA,4,4,0,0,0,0
CLUJ,CAPUSU MIC,4,4,0,0,0,0
CLUJ,CATINA,4,1,3,0,0,0
CLUJ,COM.MOCIU SAT GHIRISUL ROMAN,4,4,0,0,0,0
CLUJ,COMUNA FRATA,4,4,0,0,0,0
CLUJ,COMUNA SAVADISLA,4,4,0,0,0,0
CLUJ,DABACA,4,3,1,0,0,0
CLUJ,FELEAC,4,1,3,0,0,0
CLUJ,IZVORUL CRISULUI,4,4,0,0,0,0
CLUJ,JUCU,4,4,0,0,0,0
CLUJ,LUNA,4,4,0,0,0,0
CLUJ,LUNA DE SUS,4,4,0,0,0,0
CLUJ,MANASTIRENI,4,4,0,0,0,0
CLUJ,MARISEL,4,4,0,0,0,0
CLUJ,MĂRIŞEL,4,4,0,0,0,0
CLUJ,PALATCA,4,4,0,0,0,0
CLUJ,POPEŞTI,4,4,0,0,0,0
CLUJ,RASCRUCI,4,4,0,0,0,0
CLUJ,SAT GHEORGHIENI,4,4,0,0,0,0
CLUJ,SINPAUL,4,1,3,0,0,0
CLUJ,TUREA,4,4,0,0,0,0
CLUJ,UNGURAŞ,4,4,0,0,0,0
CLUJ,VALEA IERII,4,2,2,0,0,0
CLUJ,VISTEA,4,4,0,0,0,0
CONSTANTA,BUCURESTI,4,3,1,0,0,0
CONSTANTA,CASTELU,4,4,0,0,0,0
CONSTANTA,COMUNA DELENI,4,4,0,0,0,0
CONSTANTA,"CONSTANŢA,",4,4,0,0,0,0
CONSTANTA,COSTINESTI,4,4,0,0,0,0
CONSTANTA,EFORIE,4,4,0,0,0,0
CONSTANTA,EFORIE-NORD,4,4,0,0,0,0
CONSTANTA,NEPRECIZAT,4,4,0,0,0,0
CONSTANTA,PANTELIMON,4,4,0,0,0,0
CONSTANTA,VALUL LUI TRAIAN,4,2,2,0,0,0
CONSTANTA,VENUS,4,4,0,0,0,0
COVASNA,BARCANI,4,4,0,0,0,0
COVASNA,COM. VALEA CRISULUI,4,4,0,0,0,0
COVASNA,COMUNA GHELINTA,4,4,0,0,0,0
COVASNA,COMUNA ZAGON,4,4,0,0,0,0
COVASNA,DOBÂRLĂU,4,4,0,0,0,0
COVASNA,GHELINŢA,4,4,0,0,0,0
COVASNA,MUN. SF. GHEORGHE,4,4,0,0,0,0
COVASNA,OR. BARAOLT,4,4,0,0,0,0
COVASNA,"SAT ARCUS, COM. ARCUS",4,4,0,0,0,0
COVASNA,TURIA,4,4,0,0,0,0
DAMBOVITA,BUCSANI,4,1,3,0,0,0
DAMBOVITA,COMISANI,4,1,3,0,0,0
DAMBOVITA,"COMUNA RĂZVAD, SAT VALEA VOIEVOZILOR",4,2,2,0,0,0
DAMBOVITA,MATASARU,4,3,1,0,0,0
DAMBOVITA,Pucioasa,4,3,1,0,0,0
DOLJ,BRĂDEŞTI,4,4,0,0,0,0
DOLJ,COMUNA APELE VII,4,4,0,0,0,0
DOLJ,COMUNA BRABOVA,4,4,0,0,0,0
DOLJ,COMUNA DANEŢI,4,4,0,0,0,0
DOLJ,COMUNA SĂLCUŢA,4,4,0,0,0,0
DOLJ,"CRAIOVA,DOLJ",4,3,1,0,0,0
DOLJ,CRAIOVA],4,3,1,0,0,0
DOLJ,CÂRCEA,4,4,0,0,0,0
DOLJ,IŞALNIŢA,4,4,0,0,0,0
DOLJ,MACESU DE SUS,4,4,0,0,0,0
DOLJ,UNIREA,4,4,0,0,0,0
GALATI,COMUNA BRĂHĂŞEŞTI SAT TOFLEA,4,4,0,0,0,0
GALATI,COSTACHE NEGRI,4,4,0,0,0,0
GALATI,"SAT COSTI, COMUNA VÂNĂTORI",4,4,0,0,0,0
GALATI,TULUCESTI,4,4,0,0,0,0
GIURGIU,ADUNAŢII COPĂCENI,4,4,0,0,0,0
GIURGIU,COM. VEDEA,4,3,0,1,0,0
GIURGIU,COM. VĂRĂŞTI,4,3,0,0,1,0
GIURGIU,COMUNA COMANA,4,1,3,0,0,0
GIURGIU,ROATA DE JOS,4,4,0,0,0,0
GIURGIU,SAT JOIŢA COMUNA JOIŢA,4,4,0,0,0,0
GIURGIU,VEDEA,4,0,0,2,2,0
GORJ,ALBENI,4,3,0,1,0,0
GORJ,HUREZANI,4,4,0,0,0,0
GORJ,NEPRECIZAT,4,2,1,0,1,0
GORJ,POLOVRAGI,4,4,0,0,0,0
HARGHITA,ATID,4,2,2,0,0,0
HARGHITA,BILBOR,4,4,0,0,0,0
HARGHITA,COM LUPENI,4,4,0,0,0,0
HARGHITA,"COM. CORUND, SAT CORUND",4,4,0,0,0,0
HARGHITA,COM. LUETA,4,4,0,0,0,0
HARGHITA,"COM. LUPENI, SAT LUPENI",4,4,0,0,0,0
HARGHITA,COM. PRAID,4,4,0,0,0,0
HARGHITA,"COM. PRAID, SAT OCNA DE JOS",4,4,0,0,0,0
HARGHITA,COM. SIMONESTI,4,4,0,0,0,0
HARGHITA,"COM. ZETEA, SAT ZETEA",4,4,0,0,0,0
HARGHITA,COM.BRADESTI,4,4,0,0,0,0
HARGHITA,COM.RACU,4,4,0,0,0,0
HARGHITA,COM.SANTIMBRU,4,4,0,0,0,0
HARGHITA,COMUNA CARTA,4,4,0,0,0,0
HARGHITA,COMUNA SUSENI,4,4,0,0,0,0
HARGHITA,CORBU,4,4,0,0,0,0
HARGHITA,COZMENI,4,4,0,0,0,0
HARGHITA,MIRECUREA CIUC,4,4,0,0,0,0
HARGHITA,MUN.CRISTURU SECUIESC,4,4,0,0,0,0
HARGHITA,MUNICIPIUL MIERCUREA CIUC,4,4,0,0,0,0
HARGHITA,Miercurea Ciuc,4,3,1,0,0,0
HARGHITA,OD SECUEISC,4,4,0,0,0,0
HARGHITA,OR.GHEORGHENI,4,3,1,0,0,0
HARGHITA,SARMAS,4,3,1,0,0,0
HARGHITA,TUSNAD,4,3,1,0,0,0
HARGHITA,ULIES,4,3,1,0,0,0
HUNEDOARA,BANITA,4,4,0,0,0,0
HUNEDOARA,BRETEA ROMÂNA,4,4,0,0,0,0
HUNEDOARA,CERTEJU DE SUS,4,3,0,0,1,0
HUNEDOARA,MINTIA,4,4,0,0,0,0
HUNEDOARA,Petrosani,4,4,0,0,0,0
HUNEDOARA,SARMIZEGETUSA,4,3,1,0,0,0
HUNEDOARA,Vulcan,4,4,0,0,0,0
IALOMITA,COMUNA CIULNITA,4,4,0,0,0,0
IALOMITA,COMUNA ION ROATĂ,4,4,0,0,0,0
IALOMITA,FIERBINŢI TÂRG,4,4,0,0,0,0
IALOMITA,MIHAIL KOGALNICEANU,4,4,0,0,0,0
IASI,BRĂEŞTI,4,4,0,0,0,0
IASI,"COMUNA MIROSLAVA, SAT VALEA ADÂNCĂ",4,4,0,0,0,0
IASI,COMUNA VALEA LUPULUI,4,4,0,0,0,0
IASI,DELENI,4,4,0,0,0,0
IASI,ERBICENI,4,4,0,0,0,0
IASI,FOCURI,4,4,0,0,0,0
IASI,LESPEZI,4,4,0,0,0,0
IASI,"SAT BALCIU, COMUNA MIROSLAVA",4,4,0,0,0,0
IASI,"SAT BREAZU, COM. REDIU",4,4,0,0,0,0
IASI,SAT LUNCA CETĂŢUII,4,4,0,0,0,0
IASI,"SAT REDIU, COMUNA REDIU",4,4,0,0,0,0
IASI,SAT VALEA ADÂNCĂ,4,4,0,0,0,0
IASI,STICLĂRIA,4,4,0,0,0,0
IASI,STRUNGA,4,4,0,0,0,0
IASI,VOINESTI,4,3,1,0,0,0
IASI,"sat Breazu, comuna Rediu",4,4,0,0,0,0
IASI,ŞIPOTE,4,4,0,0,0,0
ILFOV,BALOTEŞTI,4,3,0,1,0,0
ILFOV,BRANESTI.,4,4,0,0,0,0
ILFOV,Buftea,4,4,0,0,0,0
ILFOV,"CHIAJNA, SAT DUDU",4,4,0,0,0,0
ILFOV,"COM. CHIAJNA, SAT ROŞU",4,4,0,0,0,0
ILFOV,COMUNA BERCENI.,4,4,0,0,0,0
ILFOV,"COMUNA BRĂNEŞTI, SAT BRĂNEŞTI.",4,4,0,0,0,0
ILFOV,"COMUNA CLINCENI, SAT ORDOREANU",4,4,0,0,0,0
ILFOV,COMUNA CORNETU,4,3,1,0,0,0
ILFOV,"COMUNA SNAGOV, SAT CIOFLICENI",4,4,0,0,0,0
ILFOV,Cernica.,4,4,0,0,0,0
ILFOV,Comuna Dobroesti,4,4,0,0,0,0
ILFOV,DOBROESTI.,4,4,0,0,0,0
ILFOV,DOMNESTI,4,3,1,0,0,0
ILFOV,Jilava,4,1,3,0,0,0
ILFOV,Măgurele,4,4,0,0,0,0
ILFOV,ORAS CHITILA,4,4,0,0,0,0
ILFOV,ORAS PANTELIMON,4,4,0,0,0,0
ILFOV,ORASUL OTOPENI,4,4,0,0,0,0
ILFOV,ORASUL VOLUNTARI,4,3,1,0,0,0
ILFOV,"ORAŞ BRAGADIRU, JUD. ILFOV",4,4,0,0,0,0
ILFOV,ORAŞ MĂGURELE,4,4,0,0,0,0
ILFOV,ORAŞ POPEŞTI LEORDENI,4,4,0,0,0,0
ILFOV,PERIS,4,3,1,0,0,0
ILFOV,POPESTI LEORDENI.,4,4,0,0,0,0
ILFOV,"SAT CLINCENI, COMUNA CLINCENI,",4,4,0,0,0,0
ILFOV,"SAT DUDU, COMUNA CHIAJNA",4,4,0,0,0,0
ILFOV,SAT STEFANESTII DE JOS,4,4,0,0,0,0
MARAMURES,ARDUSAT,4,3,1,0,0,0
MARAMURES,BAIA BORSA,4,1,1,2,0,0
MARAMURES,BAITA DE SUB CODRU,4,4,0,0,0,0
MARAMURES,BERINTA,4,2,2,0,0,0
MARAMURES,BOCICOIU MARE,4,2,2,0,0,0
MARAMURES,BOIU MARE,4,3,1,0,0,0
MARAMURES,CAMPULUNG LA TISA,4,4,0,0,0,0
MARAMURES,COLTAU,4,4,0,0,0,0
MARAMURES,"COM.BUDESTI,NR.448",4,4,0,0,0,0
MARAMURES,COMUNA MOISEI,4,4,0,0,0,0
MARAMURES,DRAGOMIRESTI,4,3,1,0,0,0
MARAMURES,GROSII TIBLESULUI,4,3,1,0,0,0
MARAMURES,"MUNICIPIUL SIGHETU MARMAÞIEI ,",4,4,0,0,0,0
MARAMURES,"MUNICIPIUL SIGHETU MARMAÞIEI,",4,4,0,0,0,0
MARAMURES,RONA DE JOS,4,3,0,0,1,0
MARAMURES,RUSCOVA,4,1,3,0,0,0
MARAMURES,SATU NOU DE JOS,4,4,0,0,0,0
MARAMURES,"SIGHETU MARMATIEI,",4,4,0,0,0,0
MARAMURES,UNGURENI,4,4,0,0,0,0
MARAMURES,VIMA MICA,4,4,0,0,0,0
MEHEDINTI,BRANIŞTEA,4,4,0,0,0,0
MEHEDINTI,COMUNA TÎMNA,4,4,0,0,0,0
MEHEDINTI,DROBETA -TURNU SEVERIN,4,4,0,0,0,0
MEHEDINTI,PONOARELE,4,4,0,0,0,0
MEHEDINTI,SVINITA,4,4,0,0,0,0
MEHEDINTI,VINJU MARE,4,4,0,0,0,0
MURES,ACATARI,4,4,0,0,0,0
MURES,BATOS,4,4,0,0,0,0
MURES,BRÂNCOVENEŞTI,4,4,0,0,0,0
MURES,COM. GLODENI,4,4,0,0,0,0
MURES,COMUNA ERNEI,4,4,0,0,0,0
MURES,COMUNA GĂLEŞTI,4,4,0,0,0,0
MURES,"COMUNA LIVEZENI, SAT LIVEZENI",4,4,0,0,0,0
MURES,COZMA,4,4,0,0,0,0
MURES,CUCERDEA,4,4,0,0,0,0
MURES,GHINDARI,4,3,1,0,0,0
MURES,GLODENI,4,4,0,0,0,0
MURES,GORNEŞTI,4,4,0,0,0,0
MURES,MĂDĂRAŞ,4,4,0,0,0,0
MURES,PETELEA,4,2,2,0,0,0
MURES,SANGEORGIU DE PADURE,4,4,0,0,0,0
MURES,"SAT LIVEZENI, COMUNA LIVEZENI",4,4,0,0,0,0
MURES,VĂRGATA,4,4,0,0,0,0
NEAMT,ALEXANDRU CEL BUN,4,3,1,0,0,0
NEAMT,BACAU,4,4,0,0,0,0
NEAMT,BODESTI,4,3,1,0,0,0
NEAMT,BORLESTI,4,0,4,0,0,0
NEAMT,BRUSTURI,4,4,0,0,0,0
NEAMT,COM. AGAPIA,4,4,0,0,0,0
NEAMT,COM. BORCA,4,3,1,0,0,0
NEAMT,COM. PIPIRIG,4,4,0,0,0,0
NEAMT,COM. TIMIºEºTI,4,3,1,0,0,0
NEAMT,COMUNA BICAZU ARDELEAN,4,4,0,0,0,0
NEAMT,COMUNA GRINÞIES,4,4,0,0,0,0
NEAMT,COMUNA TASCA,4,4,0,0,0,0
NEAMT,COMUNA ZÃNEºTI,4,4,0,0,0,0
NEAMT,GHERAIESTI,4,4,0,0,0,0
NEAMT,GIRCINA,4,1,3,0,0,0
NEAMT,HORIA,4,3,1,0,0,0
NEAMT,PASTRAVENI,4,4,0,0,0,0
NEAMT,TAZLAU,4,2,2,0,0,0
NEAMT,TIMISESTI,4,4,0,0,0,0
NEPRECIZAT,"Bucuresti, sector 5",4,4,0,0,0,0
NEPRECIZAT,"COM.VOLUNTARI,JUD.ILFOV",4,1,3,0,0,0
NEPRECIZAT,"ILFOV , VOLUNTARI",4,3,1,0,0,0
NEPRECIZAT,"ORAŞUL VOLUNTARI, JUDEŢUL ILFOV",4,3,1,0,0,0
NEPRECIZAT,OTOPENI,4,3,1,0,0,0
NEPRECIZAT,"OTOPENI, JUDEŢUL ILFOV",4,4,0,0,0,0
NEPRECIZAT,Otopeni,4,4,0,0,0,0
OLT,BABICIU,4,4,0,0,0,0
OLT,CILIENI,4,3,1,0,0,0
OLT,CORBU,4,4,0,0,0,0
OLT,DEVESELU,4,4,0,0,0,0
OLT,DOBROSLOVENI,4,4,0,0,0,0
OLT,DOBROTEASA,4,4,0,0,0,0
OLT,DRAGANESTI,4,3,1,0,0,0
OLT,GRADINILE,4,4,0,0,0,0
OLT,IZBICENI,4,4,0,0,0,0
OLT,POTCOAVA,4,3,1,0,0,0
OLT,TESLUI,4,2,2,0,0,0
OLT,VISINA,4,4,0,0,0,0
OLT,VOINEASA,4,4,0,0,0,0
PRAHOVA,"BAICOI,",4,4,0,0,0,0
PRAHOVA,BANESTI,4,3,1,0,0,0
PRAHOVA,BOLDESTI-SCAIENI,4,4,0,0,0,0
PRAHOVA,BRAZI,4,3,1,0,0,0
PRAHOVA,COM. ALBESTI-PALEOLOGU,4,1,3,0,0,0
PRAHOVA,COM. COCORASTII MISLII,4,2,2,0,0,0
PRAHOVA,COM. COLCEAG,4,0,4,0,0,0
PRAHOVA,"COM. CORNU, SAT CORNU DE JOS",4,3,1,0,0,0
PRAHOVA,COM. MAGURENI,4,2,2,0,0,0
PRAHOVA,COM. MANESTI,4,0,4,0,0,0
PRAHOVA,COM. POSESTI,4,1,3,0,0,0
PRAHOVA,COM. STARCHIOJD,4,0,4,0,0,0
PRAHOVA,COM. TARGSORU VECHI,4,1,3,0,0,0
PRAHOVA,COMUNA ARICESTII-RAHTIVANI,4,4,0,0,0,0
PRAHOVA,COMUNA LIPANESTI,4,4,0,0,0,0
PRAHOVA,COMUNA PĂULEŞTI,4,4,0,0,0,0
PRAHOVA,"CÂMPINA,",4,4,0,0,0,0
PRAHOVA,MUN. PLOIEŞTI,4,4,0,0,0,0
PRAHOVA,MĂNECIU,4,4,0,0,0,0
PRAHOVA,POIANA CAMPINA,4,2,2,0,0,0
PRAHOVA,PUCHENII MARI,4,3,1,0,0,0
PRAHOVA,TEISANI,4,4,0,0,0,0
PRAHOVA,VALEA DOFTANEI,4,4,0,0,0,0
SALAJ,BORLA,4,4,0,0,0,0
SALAJ,HALMASD,4,4,0,0,0,0
SALAJ,IP,4,4,0,0,0,0
SALAJ,Jibou,4,4,0,0,0,0
SALAJ,LOZNA,4,4,0,0,0,0
SALAJ,MESEŞENII DE SUS,4,4,0,0,0,0
SALAJ,NUŞFALĂU,4,4,0,0,0,0
SALAJ,POPENI,4,3,1,0,0,0
SALAJ,RÃSTOLÞU DEªERT,4,4,0,0,0,0
SALAJ,SOMES ODORHEI,4,4,0,0,0,0
SALAJ,SĂRMĂŞAG,4,4,0,0,0,0
SALAJ,ZAUAN,4,4,0,0,0,0
SATU MARE,APA,4,4,0,0,0,0
SATU MARE,CALINESTI OAS,4,4,0,0,0,0
SATU MARE,CAMIN,4,3,1,0,0,0
SATU MARE,Carei,4,4,0,0,0,0
SATU MARE,CĂPLENI,4,4,0,0,0,0
SATU MARE,GHERÞA MICÃ,4,3,1,0,0,0
SATU MARE,HRIP,4,4,0,0,0,0
SATU MARE,NEGRESTI OAª,4,2,2,0,0,0
SATU MARE,PAULESTI,4,4,0,0,0,0
SATU MARE,STANA,4,4,0,0,0,0
SATU MARE,Satu Mare,4,4,0,0,0,0
SATU MARE,TRIP,4,1,3,0,0,0
SIBIU,ALMA,4,4,0,0,0,0
SIBIU,ALŢÎNA,4,4,0,0,0,0
SIBIU,AŢEL,4,3,1,0,0,0
SIBIU,COMUNA PAUCA,4,4,0,0,0,0
SIBIU,COMUNA SLIMNIC,4,3,1,0,0,0
SIBIU,IGHISUL NOU,4,2,2,0,0,0
SIBIU,MOSNA,4,2,2,0,0,0
SIBIU,PORUMBACU DE JOS,4,3,1,0,0,0
SIBIU,TILIŞCA,4,3,1,0,0,0
SUCEAVA,BADEUTI,4,0,4,0,0,0
SUCEAVA,COM. CASVANA,4,0,4,0,0,0
SUCEAVA,COM. DOLHASCA,4,1,3,0,0,0
SUCEAVA,COM. FRUMOSU,4,2,2,0,0,0
SUCEAVA,COM.VATRA MOLDOVITEI,4,4,0,0,0,0
SUCEAVA,COMUNA IACOBENI,4,4,0,0,0,0
SUCEAVA,COMUNA POIANA STAMPEI,4,3,1,0,0,0
SUCEAVA,COMUNA SADOVA,4,4,0,0,0,0
