judet,localitate,total_active,asociatii_active,fundatii_active,federatii_active,uniuni_active,persoane_juridice_straine_active
BUZAU,RM-SARAT,86,75,11,0,0,0
BIHOR,NEPRECIZAT,84,20,61,1,2,0
CONSTANTA,NAVODARI,84,79,5,0,0,0
VRANCEA,ADJUD,84,78,3,3,0,0
CLUJ,HUEDIN,83,66,16,1,0,0
ILFOV,BRAGADIRU.,82,80,2,0,0,0
MURES,TG MUREŞ,82,72,8,2,0,0
PRAHOVA,BAICOI,81,60,21,0,0,0
BISTRITA NASAUD,BECLEAN,78,43,35,0,0,0
GORJ,MOTRU,78,73,4,1,0,0
ILFOV,BRAGADIRU,77,74,2,1,0,0
PRAHOVA,BREAZA,77,66,9,2,0,0
COVASNA,MUN. SFANTU GHEORGHE,76,73,3,0,0,0
BRASOV,FAGARAS,75,67,7,1,0,0
PRAHOVA,BUSTENI,75,61,12,2,0,0
MARAMURES,SEINI,74,29,45,0,0,0
ILFOV,OTOPENI,73,63,9,1,0,0
MURES,TARNAVENI,73,62,11,0,0,0
NEPRECIZAT,SECTOR 3,72,53,18,0,1,0
TELEORMAN,TURNU MAGURELE,72,68,4,0,0,0
HARGHITA,TOPLITA,71,60,7,0,4,0
ARAD,INEU,70,60,9,1,0,0
CLUJ,CAMPIA TURZII,70,53,17,0,0,0
SIBIU,AGNITA,70,55,14,1,0,0
BUCURESTI,"BUCURESTI, SECTOR 1",69,65,4,0,0,0
SUCEAVA,MARGINEA,69,18,51,0,0,0
VASLUI,BIRLAD,69,57,12,0,0,0
CLUJ,BACIU,68,63,5,0,0,0
NEPRECIZAT,"BUCURESTI, SECTOR 3",68,14,54,0,0,0
MEHEDINTI,DROBETA - TURNU SEVERIN,67,67,0,0,0,0
PRAHOVA,COMARNIC,67,64,3,0,0,0
OLT,CORABIA,66,65,1,0,0,0
TIMIS,GIROC,66,63,3,0,0,0
CLUJ,CÂMPIA TURZII,65,65,0,0,0,0
MARAMURES,BAIA SPRIE,65,44,20,0,1,0
MARAMURES,BORSA,65,47,18,0,0,0
PRAHOVA,VALENII DE MUNTE,65,32,33,0,0,0
BUCURESTI,SECTOR 1,64,44,19,1,0,0
HARGHITA,CRISTURU SECUIESC,64,54,10,0,0,0
HUNEDOARA,BRAD,64,63,1,0,0,0
SATU MARE,NEGRESTI OAS,64,50,12,2,0,0
ARAD,VLADIMIRESCU,63,55,7,1,0,0
BUCURESTI,"Bucureşti, sector 1",63,48,15,0,0,0
CLUJ,APAHIDA,63,56,7,0,0,0
MARAMURES,TARGU LAPUS,63,31,32,0,0,0
OLT,BALS,63,54,6,3,0,0
SIBIU,ŞELIMBĂR,63,59,4,0,0,0
BRASOV,RÂŞNOV,62,60,2,0,0,0
CALARASI,OLTENITA,62,61,0,1,0,0
SALAJ,JIBOU,62,58,4,0,0,0
SUCEAVA,SIRET,62,40,22,0,0,0
SUCEAVA,CÂMPULUNG MOLDOVENESC,61,60,1,0,0,0
SUCEAVA,VICOVU DE SUS,61,19,42,0,0,0
HUNEDOARA,VULCAN,60,59,1,0,0,0
SIBIU,CISNĂDIE,60,56,4,0,0,0
TIMIS,JIMBOLIA,60,59,1,0,0,0
TIMIS,Timişoara,60,54,6,0,0,0
VALCEA,HOREZU,60,45,14,0,1,0
ARGES,PITEŞTI,59,50,5,4,0,0
BISTRITA NASAUD,NEPRECIZAT,59,1,58,0,0,0
HUNEDOARA,PETRILA,59,59,0,0,0,0
VALCEA,DRAGASANI,59,48,11,0,0,0
BRASOV,ZĂRNEŞTI,58,56,1,0,1,0
MURES,SOVATA,58,54,4,0,0,0
VASLUI,HUSI,58,53,5,0,0,0
HARGHITA,M CIUC,57,41,14,1,1,0
NEAMT,TG.NEAMT,57,41,16,0,0,0
PRAHOVA,PLOIEŞTI,57,46,4,6,1,0
TELEORMAN,ZIMNICEA,57,53,4,0,0,0
CLUJ,GILAU,56,47,9,0,0,0
HUNEDOARA,LUPENI,56,52,3,1,0,0
SUCEAVA,CIMPULUNG MOLDOVENESC,56,23,33,0,0,0
ALBA,ABRUD,55,54,1,0,0,0
BIHOR,BEIUŞ,55,53,2,0,0,0
BOTOSANI,DARABANI,55,49,6,0,0,0
CARAS-SEVERIN,ORAVITA,53,51,2,0,0,0
ARAD,PECICA,52,50,2,0,0,0
BUCURESTI,SECTOR 2,52,39,13,0,0,0
DAMBOVITA,GAESTI,52,42,9,0,1,0
HUNEDOARA,HATEG,52,50,2,0,0,0
ILFOV,POPEŞTI-LEORDENI.,52,51,1,0,0,0
ILFOV,ORAŞ VOLUNTARI,51,46,5,0,0,0
IASI,PAŞCANI,50,47,2,1,0,0
SALAJ,SIMLEU SILVANIEI,50,43,7,0,0,0
BRASOV,PREDEAL,49,46,3,0,0,0
COVASNA,TÂRGU SECUIESC,49,46,3,0,0,0
PRAHOVA,MIZIL,49,34,15,0,0,0
ALBA,CIMPENI,48,40,7,0,1,0
ALBA,OCNA MURES,48,42,6,0,0,0
ARGES,CAMPULUNG,48,37,11,0,0,0
BIHOR,BEIUS,48,16,32,0,0,0
BRASOV,CRISTIAN,48,46,2,0,0,0
HARGHITA,M.CIUC,48,47,1,0,0,0
BRASOV,GHIMBAV,47,45,2,0,0,0
COVASNA,SF.GHEORGHE,47,43,4,0,0,0
MURES,TÎRGU MUREŞ,46,45,1,0,0,0
NEAMT,BICAZ,46,46,0,0,0,0
ARGES,CURTEA DE ARGES,45,37,8,0,0,0
CARAS-SEVERIN,BOCSA,45,41,4,0,0,0
HARGHITA,VLAHITA,45,37,8,0,0,0
IALOMITA,FETESTI,45,44,1,0,0,0
IALOMITA,URZICENI,45,42,1,2,0,0
MURES,TÂRGU MURES,45,43,2,0,0,0
SIBIU,Sibiu,45,30,11,4,0,0
SUCEAVA,CAMPULUNG MOLDOVENESC,45,37,8,0,0,0
TIMIS,SANNICOLAU MARE,45,42,3,0,0,0
BUCURESTI,"Bucureşti, sector 2",44,35,9,0,0,0
CLUJ,CLUJ NAPOCA,44,34,8,1,1,0
HARGHITA,MUN.GHEORGHENI,44,44,0,0,0,0
MARAMURES,"BAIA MARE,",44,43,1,0,0,0
SIBIU,AVRIG,44,31,13,0,0,0
CARAS-SEVERIN,MOLDOVA NOUA,43,42,1,0,0,0
CONSTANTA,NĂVODARI,43,41,1,1,0,0
CONSTANTA,OVIDIU,43,42,1,0,0,0
CONSTANTA,VALU LUI TRAIAN,43,42,1,0,0,0
HARGHITA,ODORHEIU-SECUIESC,43,35,7,0,1,0
MEHEDINTI,DR.TR.SEVERIN,43,42,0,1,0,0
NEAMT,TG. NEAMT,43,41,2,0,0,0
BUCURESTI,"BUCURESTI, SECTOR 2",42,40,2,0,0,0
ILFOV,PANTELIMON,42,37,5,0,0,0
BACAU,COMĂNEŞTI,41,40,1,0,0,0
BIHOR,VALEA LUI MIHAI,41,36,5,0,0,0
SUCEAVA,MILISAUTI,41,1,40,0,0,0
BRASOV,SĂCELE,40,37,3,0,0,0
ILFOV,BUFTEA,40,37,2,1,0,0
ILFOV,COMUNA CHIAJNA,40,39,1,0,0,0
BACAU,MOINESTI,39,35,3,0,1,0
CARAS-SEVERIN,OTELU-ROSU,39,28,11,0,0,0
CLUJ,FELEACU,39,37,2,0,0,0
DAMBOVITA,TITU,39,32,7,0,0,0
HUNEDOARA,SIMERIA,39,38,0,1,0,0
IASI,PASCANI,39,24,15,0,0,0
MARAMURES,SOMCUTA MARE,39,26,13,0,0,0
VASLUI,NEGRESTI,39,39,0,0,0,0
ARAD,SÂNTANA,38,35,3,0,0,0
BISTRITA NASAUD,BISTRIÞA,38,34,4,0,0,0
CARAS-SEVERIN,Resita,38,33,4,0,1,0
CONSTANTA,CERNAVODĂ,38,34,3,1,0,0
DAMBOVITA,FIENI,38,31,6,0,1,0
MURES,LUDUS,38,33,5,0,0,0
VALCEA,CALIMANESTI,38,22,14,1,1,0
ALBA,TEIUS,37,34,3,0,0,0
BRASOV,PREJMER,37,37,0,0,0,0
COVASNA,MUN.SFÂNTU GHEORGHE,37,37,0,0,0,0
COVASNA,TG.SECUIESC,37,35,1,1,0,0
MURES,MIERCUREA NIRAJULUI,37,34,2,1,0,0
PRAHOVA,AZUGA,37,37,0,0,0,0
SALAJ,CEHU SILVANIEI,37,32,5,0,0,0
SUCEAVA,VICOVU DE JOS,37,10,27,0,0,0
ARAD,Arad,36,30,5,1,0,0
ARGES,MIOVENI,36,35,0,1,0,0
BUZAU,NEHOIU,36,35,1,0,0,0
COVASNA,BARAOLT,36,32,4,0,0,0
DAMBOVITA,Targoviste,36,12,19,0,5,0
TIMIS,GHIRODA,36,35,1,0,0,0
TIMIS,LOC. TIMIŞOARA,36,35,1,0,0,0
VALCEA,BREZOI,36,32,4,0,0,0
BACAU,MOINEŞTI,35,35,0,0,0,0
BUZAU,NEPRECIZAT,35,33,2,0,0,0
DAMBOVITA,TÂRGOVISTE,35,35,0,0,0,0
BACAU,COMANESTI,34,30,3,1,0,0
BUCURESTI,SECTOR 4,34,22,12,0,0,0
COVASNA,INTORSURA BUZAULUI,34,33,1,0,0,0
HARGHITA,LAZAREA,34,31,3,0,0,0
ILFOV,PANTELIMON.,34,32,2,0,0,0
NEPRECIZAT,Bucureşti,34,16,18,0,0,0
SUCEAVA,NEPRECIZAT,34,25,7,1,1,0
VRANCEA,MARASESTI,34,31,3,0,0,0
VRANCEA,PANCIU,34,34,0,0,0,0
BIHOR,TINCA,33,29,4,0,0,0
CLUJ,COJOCNA,33,31,2,0,0,0
CONSTANTA,AGIGEA,33,30,3,0,0,0
GORJ,NOVACI,33,31,2,0,0,0
GORJ,TG JIU,33,32,1,0,0,0
MARAMURES,CAVNIC,33,28,5,0,0,0
BISTRITA NASAUD,RODNA,32,21,11,0,0,0
BRASOV,FĂGĂRAS,32,31,1,0,0,0
BUCURESTI,"BUCUREŞTI, SECTOR 3",32,31,1,0,0,0
MURES,SÂNGEORGIU DE MUREŞ,32,32,0,0,0,0
VASLUI,BARLAD,32,29,3,0,0,0
BACAU,BUHUŞI,31,30,1,0,0,0
BUCURESTI,"BUCURESTI, SECTOR 5",31,28,3,0,0,0
BUCURESTI,"Bucureşti, sector 6",31,31,0,0,0,0
HARGHITA,MUN.ODORHEIU SECUIESC,31,30,1,0,0,0
ILFOV,COMUNA CORBEANCA,31,30,1,0,0,0
ILFOV,ORAŞUL VOLUNTARI,31,27,4,0,0,0
MEHEDINTI,ORSOVA,31,30,1,0,0,0
MURES,LUDUŞ,31,31,0,0,0,0
BISTRITA NASAUD,FELDRU,30,17,13,0,0,0
BUCURESTI,"Bucuresti, sector 5",30,26,4,0,0,0
CLUJ,SIC,30,21,9,0,0,0
CONSTANTA,CERNAVODA,30,22,7,0,1,0
COVASNA,SFÂNTU GHEORGHE,30,26,2,2,0,0
HARGHITA,DITRAU,30,21,8,0,1,0
HUNEDOARA,ORASTIE,30,27,3,0,0,0
NEAMT,TG-NEAMÞ,30,30,0,0,0,0
SUCEAVA,GALANESTI,30,9,21,0,0,0
TELEORMAN,VIDELE,30,28,2,0,0,0
TIMIS,GIARMATA,30,28,2,0,0,0
VALCEA,BAILE OLANESTI,30,21,9,0,0,0
ARAD,NÃDLAC,29,28,1,0,0,0
BACAU,BUHUSI,29,27,2,0,0,0
BIHOR,SĂCUENI,29,27,2,0,0,0
ILFOV,COMUNA TUNARI,29,27,2,0,0,0
NEPRECIZAT,ILFOV,29,27,2,0,0,0
PRAHOVA,PLOPENI,29,16,13,0,0,0
SATU MARE,ARDUD,29,24,5,0,0,0
BIHOR,Oradea,28,21,6,1,0,0
BRASOV,Braşov,28,21,5,2,0,0
CONSTANTA,EFORIE SUD,28,26,2,0,0,0
HUNEDOARA,ORĂŞTIE,28,27,1,0,0,0
MARAMURES,Baia Mare,28,17,8,2,1,0
MEHEDINTI,DR. TR. SEVERIN,28,28,0,0,0,0
SIBIU,TALMACIU,28,15,13,0,0,0
TIMIS,DUMBRAVITA,28,27,0,1,0,0
TIMIS,FAGET,28,28,0,0,0,0
ARAD,CURTICI,27,19,5,3,0,0
ARAD,SEBIª,27,26,1,0,0,0
BISTRITA NASAUD,B-TA,27,23,0,0,4,0
BRASOV,HARMAN,27,25,2,0,0,0
BRASOV,RUPEA,27,27,0,0,0,0
BUCURESTI,"Bucureşti, sector 3",27,24,3,0,0,0
BUCURESTI,sector 3,27,14,13,0,0,0
CARAS-SEVERIN,BAILE HERCULANE,27,22,5,0,0,0
CONSTANTA,EFORIE NORD,27,26,1,0,0,0
GORJ,ROVINARI,27,26,0,1,0,0
HARGHITA,BORSEC,27,24,3,0,0,0
HARGHITA,JOSENI,27,17,10,0,0,0
ILFOV,ORAŞ OTOPENI,27,26,1,0,0,0
MURES,CORUNCA,27,24,3,0,0,0
SIBIU,DUMBRĂVENI,27,27,0,0,0,0
SIBIU,SELIMBAR,27,23,4,0,0,0
ALBA,ROSIA MONTANA,26,25,0,1,0,0
CARAS-SEVERIN,ANINA,26,25,1,0,0,0
CARAS-SEVERIN,REŞIŢA,26,26,0,0,0,0
HARGHITA,OD-SECUIESC,26,3,23,0,0,0
HUNEDOARA,CALAN,26,26,0,0,0,0
PRAHOVA,CÂMPINA,26,25,0,1,0,0
PRAHOVA,URLATI,26,14,12,0,0,0
SALAJ,CRASNA,26,25,1,0,0,0
SALAJ,ªIMLEU SILVANIEI,26,26,0,0,0,0
SUCEAVA,GRANICESTI,26,3,23,0,0,0
TIMIS,mun. Timişoara,26,26,0,0,0,0
ALBA,ZLATNA,25,25,0,0,0,0
BUCURESTI,SECTOR 6,25,20,5,0,0,0
BUZAU,MUN. BUZAU,25,25,0,0,0,0
CONSTANTA,MUN. MANGALIA,25,24,1,0,0,0
ILFOV,ORAŞUL OTOPENI,25,24,1,0,0,0
MARAMURES,MOISEI,25,13,12,0,0,0
MURES,IERNUT,25,24,1,0,0,0
SIBIU,CRISTIAN,25,19,6,0,0,0
TIMIS,DETA,25,25,0,0,0,0
TIMIS,SĂCĂLAZ,25,25,0,0,0,0
TIMIS,Timisoara,25,21,2,2,0,0
ALBA,PETRESTI,24,22,2,0,0,0
BUCURESTI,"Bucureşti, sector 4",24,23,1,0,0,0
CLUJ,COMUNA MIHAI VITEAZU,24,24,0,0,0,0
ILFOV,CHITILA,24,24,0,0,0,0
MARAMURES,TAUTII MAGHERAUS,24,19,5,0,0,0
TULCEA,SULINA,24,21,2,1,0,0
BISTRITA NASAUD,REBRISOARA,23,8,15,0,0,0
BRAILA,IANCA,23,19,4,0,0,0
HUNEDOARA,HAŢEG,23,23,0,0,0,0
ILFOV,POPESTI-LEORDENI.,23,23,0,0,0,0
SUCEAVA,DORNESTI,23,4,19,0,0,0
TIMIS,MOŞNIŢA NOUĂ,23,22,1,0,0,0
ARGES,COSTESTI,22,18,4,0,0,0
BIHOR,ALESD,22,8,13,0,1,0
BRASOV,SANPETRU,22,22,0,0,0,0
BUCURESTI,"BUCURESTI, SECTOR 4",22,16,6,0,0,0
BUCURESTI,"BUCUREŞTI,",22,21,1,0,0,0
BUCURESTI,"Bucuresti, sector 1",22,19,2,1,0,0
CONSTANTA,CUMPĂNA,22,22,0,0,0,0
CONSTANTA,LUMINA,22,20,2,0,0,0
CONSTANTA,TECHIRGHIOL,22,19,3,0,0,0
HARGHITA,BALAN,22,16,3,0,3,0
HARGHITA,REMETEA,22,20,2,0,0,0
