priority_rank	priority_score	priority_reason	judet_rank_active	localitate_total_active	categorie	denumire	numar_registru_national	status_normalizat	judet_cheie	localitate_cheie	judet	localitate	adresa	scop_initial	hg_utilitate_publica	data_hg_utilitate_publica	sursa_url
1147	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	FUNDATIA PENTRU DEZVOLTAREA MEDIULUI DE MUNCA	213/B/2006	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCUREŞTI	SPLAIUL INDEPENDENŢEI NR.202A, ET.3, CAMERA 30, SECTOR 6	dezvoltarea unor programe sociale adresate cu precădere persoanelor ce desfăşoară activităţi de prestare a unei munci salariale ,în spiritul afirmării valorilor umane			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1148	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	FUNDATIA PENTRU ECO- DEZVOLTARE	1180/B/1995	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCUREŞTI	LUNCA SIRETULUI NR.1, BL.A45, AP.62, SECTOR 6	- PROMOVAREA şI îNCURAJAREA schimbului de idei, în domeniul educaţiei ecologice, a protecţiei mediului, schimbului de idei în domeniul educaţiei ecologice, a protecţiei mediului, schimburilor interne şi internaţionale, de informaţie şi în domeniul ecologiei şi protecţiei mediului.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1149	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	FUNDATIA PENTRU EDUCATIE DIGITALA	43/B/2020	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	STR. IOAN BIANU NR. 27, ET. 1, AP. 3, BIROUL 4, SECTOR 1	- dezvoltarea educatiei digitale de calitate si promovarea utilizarii tehnologiei si materialelor digitale atfel incat acestea sa pregateasca copiii si tinerii pentru transformarea societatii sub impactul tendintelor tehnologice, punandu-se accentul pe gandire algoritmica, alfabetizare digitală si creativitate.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1150	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	FUNDATIA PENTRU EDUCATIE SI PERFECTIONARE MEDICALA	26/B/2019	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCUREŞTI	CALEA FLOREASCA NR. 14A, ET. 5, SECTOR 1	sa contribuie la dezvoltarea si profesionalizarea angajaţilor din domeniul medical, îmbunătăţirea calităţii ingrijirilor medicale, dezvoltarea de comunităţi profesionale, atragerea interesului pentru carierele medicale si reversarea fenomenului de imigraţie in acest sector economic.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1151	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	FUNDATIA PENTRU EDUCATIEI SI PROTECTIE SOCIALA	3138/B/1996	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	STR. BRAZILIEI NR. 1-3 SC.1 ET.3 AP.31 SECT.1	"sustinerea copiilor supradotati, sprijinirea miscarii sindicale in atingerea dezideratelor sale si dezamorsarea conflictelor colective, cresterea rolului femeii in societate, apararea valorilor democratiei si a drepturilor fundamentale, sprijinirea specialistilor sectiei de ortopedie din cadrul Spitalului de Urgenta ""Bagdasar"" cu aparatura moderna, instrumente si medicamente."			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1152	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	"FUNDATIA PENTRU ETNOGRAFIE SI FOLCLOR ""STAN MARIAN"""	4355/B/1997	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCUREŞTI	STR.VLĂDULESCU CRISTEA NR.9, BL.C29,. AP.73, SECTOR 6	- organizarea, crearea, dezvoltarea şi sprijinirea activităţii etnologice şi folclor;			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1153	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	FUNDATIA PENTRU FORMAREA SI EDUCAREA PRIN SPORT A TINERILOR	4146/B/2003	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	BD. NATIUNILE UNITE NR. 4, BL. 107A, CORP B1, SECTOR 5	Formarea si educarea prin sport a tinerilor			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1154	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	FUNDATIA PENTRU IMAGINEA ROMANIEI	171/B/1993	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	B-DUL N. BALCESCU NR.4 SECT.1	reuniunea celor interesati in propasirea Romaniei indiferent de nationalitate, cetatenie, orientare politica, etc. pentru realizarea actiunilor de promovare a imaginii Romaniei pe plan international.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1155	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	FUNDATIA PENTRU IMPLICARE CIVICA	3913/B/2010	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	STR. MOTOC, NR. 4, BL. P56, ET. 1, AP. 34, SECTOR 5	protejarea si sprijinirea culturii, artelor si a patrimoniului cultural in Romania			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1156	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	FUNDATIA PENTRU INFRUMUSETAREA CAPITALEI ROMANIEI	3076/B/1996	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	STR. TIPOGRAFIEI NR. 15 SECT.1	- construirea, prin suport public benevol si dezinteresat, de obiective cu caracter social-umanitar;			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1157	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	FUNDATIA PENTRU INTEGRARE EUROPEANA SIGMA	42/B/2004	activa	BUCURESTI	BUCURESTI	BUCURESTI	Bucuresti	str.Gen Berthelot nr.38 sector 1				https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1158	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	FUNDATIA PENTRU INVATAMANT JURNALISTIC	539/B/1994	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	STR. SF. VOIEVOZI NR. 35 SECT.1	Sustinerea si dezvoltarea unui proces educational cu profil jurnalistic si de comunicare in cadruln Scolii Superioare de Jurnalistica; acordarea de burse de studii si de perfectinare; instituirea si acordarea unor premii anuale pentru realizari deosebite in domeniile mass media si relatiilor publice; sprijinirea cercetarii in domeniu.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1159	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	"FUNDATIA PENTRU LITERATURA SI ARTA FANTASTICA ""VLADIMIR COLIN"""	131/B/1992	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	STR. ARH. I. MINCU NR. 19 SECTOR 1	promovarea si dezvoltarea literaturii romanesti si a artei romanesti fantastice si de science-fiction ata la nivel national cat si in plan universal;			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1160	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	"FUNDATIA PENTRU LITERATURA SI ARTE VIZUALE A REVISTEI ""CONTRAPUNCT"""	4628/B/2007	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	STR. BIBESCU VODA NR. 1, BL. P4, SC. 3, ET. 3, AP. 59, SECTOR 4	Promovarea interdisciplinaritatii artistice, promovarea literaturii şi artelor plastice din Romania, facilitarea schimburilor culturale dintre artistii romani şi cei din străinătate, să editeze publicatii de specialitate, să coordoneze programe culturale servind scopului fundaţiei, să organizeze simpozioane expozitii de artă in conditiile şi cu respectul legilor şi a Constitutiei Romaniei			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1161	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	FUNDATIA PENTRU MUNTE	1023/B/1995	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	B-DUL BUCURESTII NOI NR. 60 SC.B ET.2 AP.8 SECT.1	promovarea relatiilor benefice intre om si munte.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1162	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	FUNDATIA PENTRU NEUROCHIRURGIE MODERNA	16710/B/2014	activa	BUCURESTI	BUCURESTI	BUCURESTI	Bucuresti	prelungire valabilitate sediu	Fundaţia “FUNDAŢIA PENTRU NEUROCHIRURGIE MODERNĂ” este o organizaţie înfiinţată în scopul de a dezvolta şi moderniza neurochirurgia în România.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1163	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	FUNDATIA PENTRU O NOUA CIVILIZATIE EUROPEANA	4327/B/1998	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCUREŞTI	STR.VALEA OLTULUI NR.2, BL.M9, AP.121, SECTOR 6	- de a milita prin mijloace culturale, pentru salvarea tradiţiilor etnoculturale şi europene;			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1164	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	FUNDATIA PENTRU O ROMÂNIE MODERNA	4348/B/1998	activa	BUCURESTI	BUCURESTI	BUCURESTI	Bucuresti	prelungire sediu	statut autentificat sub nr.2272/20.11.1997			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1165	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	FUNDATIA PENTRU OCROTIREA SANATATII	3097/B/1996	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	CALEA DOROBANTILOR NR. 2 SECT.1	sprijinirea si promovarea dreptului la asistenta medicala si sanatate.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1166	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	FUNDATIA PENTRU PERFECŢIONAREA MANAGEMENTULUI EDUCATIONAL CRONOS 2000	876/B/2000	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	STR. CHIBZUINŢEI NR. 13, PARTER, AP. 2, SECTOR 6.	- ridicarea continuă a calităţii învăţămîntului de toate gradele şi formele, prin atragerea diferenţiată a tuturor copiilor şi tinerilor, prin perfectionarea managementului educaţional şi a personalului didactic şi prin dotarea sa cu materialele şi tehnologiile cele mai avansate; orientarea şi reorientarea persoanelor apte de muncă prin pregătirea şi atestarea în diverse profesii şi meserii; organizarea timpului liber al copiilor şi al tinerilor inclusiv prin activităţi turistice.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1167	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	FUNDATIA PENTRU PLURALISM	589/B/1994	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	BUCUREŞTI, P-ŢA MIHAIL KOGĂLNICEANU, NR. 8, SC. C, ET. 2, AP. 11, SECTOR 5	- initierea si promovarea in România de proiecte si activitati culturale.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1168	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	FUNDATIA PENTRU PROGRESUL CHIRURGIEI DIGESTIVE	787/B/2000	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	STR ALEX MORUZZI, NR.11, BL.V59, SC.2, ET.2, AP.27, SECTOR 3	promovarea programelor in domeniul investigatiilor in chirurgia digestiva			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1169	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	FUNDATIA PENTRU PROMOVAREA MEDICINII COMPLEMENTARE SI ALTERNATIVE	49/B/2004	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	STR FIZICIENILOR, NR. 3, BL. D3B, SC.B, ET.7, AP.74, SECTOR 3	PROMOVAREA MEDICINII ALTERNATIVE			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1170	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	FUNDATIA PENTRU PROMOVAREA SANATATII-PROMED	849/B/2000	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	CAL CALARASILOR, NR.174BL.58, AP.10, SECTOR 3	sprijinirea si promovarea actiunilor din domeniul medicinii calsice si din alte domenii conexe pentru promovarea sanatatii si a unui stil de viata sanatos a populatiei			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1171	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	"FUNDATIA PENTRU PROTECTIA ANIMALELOR ""COLT ALB"""		activa	BUCURESTI	BUCURESTI	BUCURESTI	Bucureşti	str. W.A. Mozart nr.2, sc.C, ap.31 sector 2	statut din 1992			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1172	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	FUNDATIA PENTRU PROTECTIA MEDIULUI AMBIANT DIN ROMANIA	3515/B/1996	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	BD DECEBAL, NR.12, BL.S7, SC.B, ET.1, AP.23, SECTOR 3	UMANITAR			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1173	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	FUNDATIA PENTRU REFORME ECONOMICE	1450/B/1998	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	SPLAIUL UNIRII, NR.45, BL.M15, AP.70, SECTOR 3	elaborarea de proiecte, punerea in fapt si urmarirea stiintifica a reformelor economice din Romania			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1174	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	FUNDATIA PENTRU SANATATE ORHIDEEA SPA	55/B/2013	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCUREŞTI	STR. CALEA PLEVNEI, NR. 145B, SPA, SECTOR 6	Susţinerea, ajutorarea şi sprijinirea prin donaţii şi acţiuni şi iniţiative specifice a copiilor, din punct de vedere medical şi material, cât şi a sistemului de asistenţă medicală ce se adresează copiilor şi tinerilor.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1175	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	FUNDATIA PENTRU SCLEROZA TUBEROASA - TSR	4014/B/1998	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	STR AGRICULTORI, NR.117, BL.80, SC.1, ET.8, AP.33, SECTOR 3	lupta impotriva sclerozei tuberoase			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1176	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	FUNDATIA PENTRU SOLIDARITATEA TINERILOR	3042/B/1996	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	STR. DEM I. DOBRESCU NR.9 SECT.1	Fundatia isi propune sa actioneze pentru a promova si facilita acesul tinerilor cu sanse egale la instruire, in special pe linia practicilor democratice.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1177	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	FUNDATIA PENTRU STRATEGII DE COMUNICARE	846/B/1993	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	BD. PĂCII NR. 19, BL. 5, SC. 5,AP. 182 SECTOR 6	- de a contribui la: sprijinirea proceselor educationale, specifice societatii civile,			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1178	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	FUNDATIA PENTRU STUDIUL ISTORIEI RECENTE A ROMANIA	798/B/2000	activa	BUCURESTI	BUCURESTI	BUCURESTI	Bucureşti	str. Aviator Radu Beller nr.8, bl.22, sc.C, ap.33, sect.1	Art. 6. Scopurile Fundaţiei sunt următoarele			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1179	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	"FUNDATIA PENTRU TENIS ""ACADEMIA ILIE NASTASE"""	820/B/1999	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	SOS. PIPERA NR. 38, SECTOR 1	"sprijinirea sportului de performanta din cadrul Clubului de tenis ""LIVONE"" cu fonduri materiale si financiare, inclusiv articole sportive pentru pregatirea si trimiterea la competitii interne si internationale a sportivilor acestuia."			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1180	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	"FUNDATIA PENTRU TINERET ""EUROFAST"""	3003/B/1996	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	STR. BUCEGI NR.39 SECT.1	este de a promova si sustine activitatile pentru tineret, in vederea integrarii in valorile nationale, europene si universale.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1181	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	"FUNDATIA PENTRU TINERET ""JUVENTUS"""	3113/B/1996	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	CALEA DOROBANTI NR. 116-122 BL. 6 SC. C AP.7 SECT.1	promovarea activitatilor sportive prin acordarea de burse si premii pentru tineri avand varsta cuprinsa intre 12-27 ani ce au rezultate deosebite in activitatea sportiva de masa si se performanta, ata pe plan intern cat si international.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1182	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	FUNDATIA PENTRU TINERET ARAMIS	4369/B/1997	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	STR. MEHADIEI NR. 16, BL 22, AP. 148 SECTOR 6	- evaluarea, depistarea si promovarea prin programe specifice a copiilor supradotati de virsta perscolara si scolara.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1183	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	FUNDATIA PENTRU VIATA	4239/B/2012	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCUREŞTI	STR. COSTACHE NEGRI NR.1-5, ETAJ 2, SECTOR 5	promovarea sanatatii, educatiei si culturii, asistenta sociala, ajutorarea saracilor si defavorizatilor, asistenta oamenilor dezavantajati fizic, a copiilor si a persoanelor in varsta, activitatea de tineret, sporirea participarii civice, protejarea mediului si a naturii si sustinerea bunastarii sociale			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1184	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	FUNDATIA PEOPLES CARE SUPPLY	786/B/2000	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	BD.DECEBAL,NR.17,BL.S16,ET.1,AP.69, SECTOR 3	ajutorarea comunitatilor de copii si bolnavi			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1185	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	FUNDATIA PHEONIX HUMANITAS	3570/B/1996	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	ALEEA SCOLARILOR, NR.4, BL.S3A, SC.A, AP.44, SECTOR 3	umanitar			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1186	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	FUNDATIA PHOENIX	3467/B/1996	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	STR BAIA MARE, NR.1, BL.B1.8, SC.1, ET.8, AP.58, SECTOR 3	INITIEREA SI SUSTINEREA UNOR PROGRAME COMPLEXE DE EDUCATIE SCOLARA; SPRIJINIREA CELOR MAI DOTATI COPII SI TINERI			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1187	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	FUNDATIA PHOENIX - TRANSSYLVANIA	3425/B/1996	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	BUCUREŞTI, STR. BUZEŞTI, NR. 61, BL. A6, SC. A, ET. 3, AP. 18, SECTOR 1.	- promovarea şi răspîndirea creaţiei muzicale a formaţiei Phoenix a valorii muzicii romaneşti.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1188	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	FUNDATIA PICTOR ION MURARIU	1039/B/2007	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	CAL VICTORIEI, NR 2, SC B, ET 6, AP 28, SECTOR 3	PREZENTAREA PUBLICULUI LARG VIATA SI OPERA PICTORULUI IOAN MURARIU			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1189	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	FUNDATIA PLUTO	3978/B/2010	activa	BUCURESTI	BUCURESTI	BUCURESTI	Bucureşti	bd. Unirii nr.6, bl.8C, sc.2, et.6, ap.37 sector 4	realizarea unor proiecte si programe care vizează dezvoltarea durabilă a României			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1190	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	FUNDATIA PODUL SPERANTEI	876/B/2004	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	STR. GHERGHINA NR.2A SECTOR 5	informarea opiniei publice cu privire la efectele nocive a consumului de droguri prin mijloacele mentionate in obiectul de activitate in vederea afirmarii valorilor de ordin social ca respectul fata de semeni, compasiune si toleranta			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1191	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	FUNDATIA POLITEHNICA - C.I.T.I.	996/B/1993	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	STR. POLIZU NR. 1-7 SECT.1	- colaborarea universitara, economica si culturala intre Romania si Franta;			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1192	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	FUNDATIA POLIZU	999/B/1995	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	STR. POLIZU NR. 38-52 SECT.1	de a gasi si dezvolta cele mai potrivite mijloace pentru apararea sanatatii mamei si a copilului, de a promova diferite activitati educative privind sanatatea fizica si psihica a viitoarelor mame, pregatirea si specializarea personalului sanitar pentru astfel de activitati, mediatizarea importantei profilaxiei si educatiei sanitare pentru tinara generatie.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1193	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	FUNDATIA POMPARAU	3445/B/1996	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCUREŞTI	STR.DEALUL TUGULEA NR.64, BL.D3, AP.36 SECTOR 6	- reafirmând credinţa în demnitate şi valoarea persoanei umane.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1194	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	FUNDATIA POPESCU	3101/B/2001	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCUREŞTI	STR.DELINEŞTI NR.8, BL.M12, AP.59, SECTOR 6	- sprijinirea activităţilor în domeniul filozofia culturii, literatură, sociologie, geopolitică, teologie.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1195	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	FUNDATIA PRAIS	3/B/2002	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	STR. PUSKIN NR. 2 SECTOR 1	conceperii, initierii si implementarii de programe comunitare.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1196	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	FUNDATIA PREASFANTA FECIOARA MARIA	609/B/1994	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	STR BABA NOVAC, NR.18, BL.24, SC.A, AP.1, SECTOR 3	EDUCATIONAL, STIINTIFIC, RELIGIOS SI CARITABIL			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1197	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	FUNDATIA PREMIUL ROMAN PENTRU CALITATE J.M. JURAN	860/B/1999	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	BD CTAVIAN GOGA NR.2, SECTOR 3	IMBUNATATIREA CALITATII ACTIVITATII AGENTILOR ECONOMICI PRODUCATORI DE BUNURI SI SERVICII, STIMULAREA ACESTORA IN DOMENIUL CALITATII			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1198	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	FUNDATIA PRETUIESTE CLIPA	4336/B/2012	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	BD. DIMITRIE CANTEMIR NR. 5, BL. 6, SC. B, ET. 7, AP. 72, SECTOR 4	Scopul Fundatiei este de a veni in intampinarea persoanelor cele mai defavorizate pentru a le oferi ajutor si asistenta sociala, medicala si spirituala, respectand demnitatea lor; de a se implica in activitrati de centrare cognitiva, emotionala si corporala.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1199	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	FUNDATIA PRICEWATERHOUSECOOPERS ROMANIA	3535/B/2006	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	B-DUL POLIGRAFIEI NR. 1A, ANA TOWER, ET. 24/6, SECTOR 1	- promovarea si sprijinirea activitatilor cu caracter filantropic, artistic, educativ si stiintific, pentru apararea drepturilor omului si pentru ocrotirea mediului inconjurator;			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1200	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	FUNDATIA PRIETENI FARA FRONTIERE	3102/B/2001	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	BUCUREŞTI, STR. TURDA, NR. 121, BL. 5, SC. A, PARTER, AP. 4, SECTOR 1.	- ajutor si sprijin moral si material al caselor de copii si batrini si infiintarea centrelor de sanatate			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
1201	88	judet_prioritar | localitate_dense:15123 | categorie:fundatie	1	15123	fundatie	FUNDATIA PRIETENIE FARA FRONTIERE	4015/B/1998	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	STR LIVIU REBREANU, NR.12, BL.A3, SC.5, AP.53, SECTOR 3				https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx
