priority_rank	priority_score	priority_reason	judet_rank_active	localitate_total_active	categorie	denumire	numar_registru_national	status_normalizat	judet_cheie	localitate_cheie	judet	localitate	adresa	scop_initial	hg_utilitate_publica	data_hg_utilitate_publica	sursa_url
11	92	judet_prioritar | localitate_dense:15123 | categorie:federatie	1	15123	federatie	ACORD - FEDERATIA PENTRU PROMOVAREA INTEGRARII PRIN MUNCA A PERSOANELOR CU DIZABILITATI	34/C/2005	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	CALEA CALARASILOR, NR.165, BL.38, SC.3, ET.4, AP.18, SECTOR 3	Crearea unui cadru adecvat pentru stimularea si sprijinirea integrarii in munca a persoanelor cu diyabilitati			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Federatii.xlsx
12	92	judet_prioritar | localitate_dense:15123 | categorie:federatie	1	15123	federatie	ALIANTA CONFEDERATIILOR PATRONALE DIN ROMÂNIA - ALIANTA - A.C.P.R.	41/C/2004	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	Bucureşti, B-dul Lascăr Catargiu nr. 24-26, parter, sector 1	a) promovarea şi apărarea instituţiei patronale şi intereselor legitime ale membrilor săi;			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Federatii.xlsx
13	92	judet_prioritar | localitate_dense:15123 | categorie:federatie	1	15123	federatie	ALIANTA FEDERATIILOR TEHNICE FEROVIARE	31/C/2008	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	STR.STEFAN STOICA NR.27, SECTOR 1	a) unitatea miscarii sindicale			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Federatii.xlsx
14	92	judet_prioritar | localitate_dense:15123 | categorie:federatie	1	15123	federatie	ALIANTA SINDICATELOR FEROVIARE BUCURESTI	30/C/2010	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	PIATA GARII DE NORD NR.1-3, ET.1, CAM. 183 A, SECTOR 1	pune în valoare si apara drepturile, libertatile si interesele legitime, materiale, morale, profesionale, economice, juridice si cultural-sportive ale membrilor sai.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Federatii.xlsx
15	92	judet_prioritar | localitate_dense:15123 | categorie:federatie	1	15123	federatie	ALIANŢA NAŢIONALĂ A UNIUNILOR DE CREATORI - A.N.U.C.	67/C/2017	activa	BUCURESTI	BUCURESTI	BUCURESTI	Bucureşti	Str. D. I. Mendeleev nr. 28-30, sectorul 1, la sediul Uniunii Cineaştilor din România	apărarea, promovarea şi reprezentarea intereselor legitime ale uniunilor componente precum şi conlucrarea acestora în domenii de interes comun ca:			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Federatii.xlsx
16	92	judet_prioritar | localitate_dense:15123 | categorie:federatie	1	15123	federatie	ALIANŢA NAŢIONALĂ CONFEDERATIVĂ SINDICAL COOPERATISTĂ MERIDIAN	1/C/2003	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCUREŞTI	STR.MENDELEEV NR.36-38 SECTOR 1	1. Realizarea de demersuri comune şi sprijin reciproc în vederea asigurării unui cadru legislativ adecvat pentru fiecare organizaţie componentă în funcţie de interesele specifice.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Federatii.xlsx
17	92	judet_prioritar | localitate_dense:15123 | categorie:federatie	1	15123	federatie	ALIANŢA TINERETULUI UNIVERSITAR DIN BUCUREŞTI	122/C/2002	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCUREŞTI	STR.CONSTANTIN NOICA NR.140, SECTOR 6	- dezvoltarea de acţiuni menite să impună la nivel naţional şi internaţional imaginea şi prestigiul Universităţilor din Bucureşti, precum şi a mediului universitar românesc de aici şi de pretutindeni.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Federatii.xlsx
18	92	judet_prioritar | localitate_dense:15123 | categorie:federatie	1	15123	federatie	ASOCIATIA DEPOZITARILOR-COMERCIANTI DIN ROMANIA-ADCER	71/C/2007	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	STR.DOAMNEI NR.9, SECTOR 3	apararea si reprezentarea intereselor generale ale soc ietatilor comerciale afiliate, în raporturile acestora cu autoritatile publice si private precum si cu alti agenti economici din România si strainatate, în vederea obtinerii unui nivel înalt de profitabilitate, materializat în dividende superioare pentru actionari, cresterea atractivitatii la privatizare si îmbunatatirea cotarii actiunilor la bursa si pe piata extrabursiera, cresterea prestigiului angrosistilor români de cereale în vederea intrarii acestora pe piata europeana si mondiala a cerealelor.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Federatii.xlsx
19	92	judet_prioritar | localitate_dense:15123 | categorie:federatie	1	15123	federatie	CENTRALA NATIONALA SINDICALA DIN SANATATE SI ASISTENTA SOCIALA C.N.S. SAN.ASIST	73/C/2007	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	SPLAIUL INDEPENDENTEI NR.202A, ET.3, AP.36, SECTOR 6	este apararea si promovarea drepturilor socio-profesionale si intereselor materiale, morale si spirituale comune ale membrilor sai.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Federatii.xlsx
20	92	judet_prioritar | localitate_dense:15123 | categorie:federatie	1	15123	federatie	CENTRALA SINDICALA DIN SANATATE SI ASISTENTA SOCIALA	59/C/2004	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	STR.SPLAIUL INDEPENDENŢEI NR.202A, CAMERA 22, SECTORUL 6	"Scopul constituirii si activitatii ""ALFA SAS"" este apararea si promovarea drepturilor socio-profesionale si intereselor materiale, morale si spirituale comune ale membrilor sai."			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Federatii.xlsx
