judet,categorie,total,active,inactive
TIMIS,asociatie,5785,5371,414
TIMIS,federatie,39,39,0
TIMIS,fundatie,361,330,31
TIMIS,uniune,18,18,0
TULCEA,asociatie,1115,1039,76
TULCEA,federatie,8,8,0
TULCEA,fundatie,55,54,1
TULCEA,uniune,8,8,0
VALCEA,asociatie,1736,1456,280
VALCEA,federatie,10,9,1
VALCEA,fundatie,660,428,232
VALCEA,uniune,15,15,0
VASLUI,asociatie,1151,1058,93
VASLUI,federatie,4,4,0
VASLUI,fundatie,71,70,1
VASLUI,uniune,4,4,0
VRANCEA,asociatie,1338,1189,149
VRANCEA,federatie,15,13,2
VRANCEA,fundatie,106,101,5
VRANCEA,uniune,2,2,0
